sectores_economicos;economic_sectors;2006_1;2006_2;2006_3;2006_4;2006_year;2007_1;2007_2;2007_3;2007_4;2007_year;2008_1
agropecuario;agriculture and livestock;4.4;5.9;11.6;8.2;7.4;8.3;2.2;-1.8;4.8;3.1;2.2
agrícola;agriculture;2.3;5.3;15.3;13.3;8.3;7.2;1.3;-4.6;6.2;2.1;2.2
pecuario;livestock;7.8;9.5;8.7;4.5;7.6;9.9;4.3;1.9;3.2;4.7;2.3
pesca;fishing;29.7;-11.6;17.2;-7.3;2.4;16.7;5.9;-3.1;6.1;6.9;0
minería e hidrocarburos;mining and fuel;6.4;7.6;0;-6.8;1.4;-1.6;-1.9;4.5;7.4;2.1;6.2
minería metálica;metals;6.9;8;-0.9;-7.9;1.1;-2.7;-2.9;5.5;6.7;1.7;6.6
hidrocarburos;fuels;0.4;2.7;10;9.1;5.7;10.6;5.8;0.6;9.7;6.5;2
manufactura;manufacturing;8;3.7;8.8;9.1;7.4;9.2;12.2;10.4;10.7;10.6;10
procesadores de recursos primarios;based on raw materials;9.6;0.1;6.5;2;4.1;-1.1;3.2;-3.3;-1.2;-0.5;12.1
industria no primaria;non primary industries;7.6;4.8;9.4;11.2;8.3;11.2;14.3;13;13.2;12.9;9.6
electricidad y agua;electricity and water;7.5;4.7;7.5;7.9;6.9;8.1;9.7;8;7.8;8.4;9.2
construcción;construction;16.2;13;16.1;13.7;14.8;8.9;20;17.7;19;16.5;18.7
comercio;commerce;11.1;8.4;13.1;12.5;11.1;13;7.2;12.4;10.2;10.5;10.6
otros servicios;other services;6.6;5;7.2;8.4;6.8;8.8;9.4;8.9;9.3;9.1;9.2
pbi;gdp;7.9;5.8;8.6;8.1;7.6;8.8;8.5;8.9;9.7;9;9.3
sectores primarios;primary sectors;6.6;4.7;6.4;0.6;4.5;3.3;1.3;0.2;4.6;2.3;5.2
sectores no primarios;non-primary sectors;8.3;6.4;9.4;10;8.5;10.2;10.4;11.2;11.2;10.8;10.2
