year,wr,sectores_economicos,economic_sectors,2014_mar,2014_abr,2014_may,2014_jun,2014_jul,2014_ago,2014_sep,2014_oct,2014_nov,2014_dic,2014_year,2015_ene,2015_feb,2015_mar,2015_ene_mar
2015,21,agropecuario,agriculture and livestock,0.9,4.0,-0.1,-4.2,2.2,3.5,2.2,1.3,5.3,0.8,1.4,-2.2,2.3,1.2,0.4
2015,21,agricola,agriculture,-0.7,4.0,-0.3,-8.6,1.5,3.2,1.0,0.7,7.0,-1.9,0.2,-8.0,0.4,-0.4,-2.6
2015,21,pecuario,livestock,10.3,2.8,2.3,2.0,2.1,3.2,2.7,3.0,3.1,4.7,3.3,3.9,5.9,3.5,4.4
2015,21,pesca,fishing,-1.9,57.8,-10.2,-30.1,6.6,-26.9,-35.1,-15.1,-70.8,-65.8,-27.9,-23.5,-11.8,17.7,-9.2
2015,21,mineria e hidrocarburos,mining and fuel,1.6,-4.8,-2.0,-5.8,-1.6,-3.9,-3.1,3.8,0.5,-5.2,-0.8,5.6,-2.4,8.7,4.1
2015,21,mineria metalica,metals,-0.7,-7.9,-2.9,-6.7,-3.9,-4.4,-4.8,0.2,-0.9,-7.7,-2.1,5.8,-1.0,14.7,6.6
2015,21,hidrocarburos,fuel,9.4,6.0,0.9,-2.6,6.9,-2.3,3.0,17.6,5.7,4.6,4.0,5.1,-7.3,-9.6,-4.2
2015,21,manufactura,manufacturing,8.2,2.1,-1.9,-8.6,-5.1,-3.0,-2.2,-3.3,-13.8,-12.4,-3.3,-6.9,-4.5,-4.2,-5.2
2015,21,procesadores recursos primarios,based on raw materials,7.4,26.5,-8.7,-24.9,-0.4,-4.7,-7.8,-11.5,-41.3,-34.6,-9.7,-15.6,-11.0,-6.6,-11.1
2015,21,manufactura no primaria,nonprimary,8.4,-5.2,1.0,0.0,-6.9,-2.7,-0.7,-1.1,-1.6,-1.9,-1.0,-3.6,-2.3,-3.4,-3.1
2015,21,electricidad y agua,electricity and water,6.1,4.8,5.1,4.9,4.3,4.4,4.8,4.7,4.5,4.3,4.9,4.6,3.7,5.6,4.6
2015,21,construccion,construction,2.8,-6.4,5.1,2.4,-2.3,-4.0,7.0,-3.6,3.7,5.0,1.7,-2.7,-9.6,-7.8,-6.8
2015,21,comercio,commerce,5.6,3.5,4.2,5.5,4.2,3.2,4.5,4.2,3.8,4.5,4.4,3.6,3.4,3.9,3.6
2015,21,otros servicios,other services,6.7,6.1,5.7,5.8,5.3,5.2,5.7,5.7,5.3,5.9,5.8,5.2,4.8,5.4,5.1
2015,21,derechos de importacion y otros impuestos,import duties and other taxes,5.3,1.7,0.9,-0.1,-1.7,-1.0,0.9,-0.7,0.1,1.8,0.8,-2.6,0.8,0.2,-0.5
2015,21,pbi,gdp,5.4,2.6,2.5,0.4,1.5,1.2,2.7,2.4,0.2,0.5,2.4,1.5,1.0,2.7,1.7
2015,21,sectores primarios,primary sectors,2.2,2.9,-2.7,-9.4,-0.3,-2.8,-3.2,0.5,-9.6,-11.9,-2.3,-0.4,-2.7,4.6,0.6
2015,21,sectores no primarios,non primary sectors,6.3,2.6,4.1,3.6,2.0,2.2,4.1,2.9,2.9,3.8,3.6,2.0,1.9,2.2,2.0
2015,21,pbi desestacionalizado,seasonally adjusted gdp,-0.8,1.0,-0.7,-0.5,0.7,0.1,0.8,0.2,-0.6,0.3,,0.5,0.0,0.8,
2015,21,indicador de demanda interna,domestic demand indicator,6.8,1.9,1.7,0.3,0.6,2.5,3.3,2.4,0.5,2.8,2.2,0.4,4.7,5.1,3.4
2015,21,indicador de demanda interna desestacionalizada,seasonally adjusted domestic demand indicator,0.4,0.2,-0.4,-0.2,0.5,0.6,0.7,0.2,-0.3,0.2,,-0.1,2.1,1.1,
