year,wr,sectores_economicos,economic_sectors,2014_sep,2014_oct,2014_nov,2014_dic,2014_year,2015_ene,2015_feb,2015_mar,2015_abr,2015_may,2015_jun,2015_jul,2015_ago,2015_sep,2015_ene_sep
2015,45,agropecuario,agriculture and livestock,1.8,1.0,5.9,2.0,1.9,-2.2,2.3,1.5,-1.5,2.4,7.4,4.9,0.9,3.4,2.2
2015,45,agricola,agriculture,0.8,0.1,6.4,-0.4,0.7,-7.5,0.2,-0.2,-4.8,0.6,8.1,3.9,-2.7,0.8,0.3
2015,45,pecuario,livestock,4.3,6.0,6.3,9.1,5.8,4.8,5.0,4.0,5.7,6.7,5.9,6.6,5.4,6.3,5.6
2015,45,pesca,fishing,-35.1,-15.1,-70.8,-65.8,-27.9,-23.5,-11.8,17.7,143.5,23.2,-29.6,-37.5,-10.3,3.7,9.1
2015,45,mineria e hidrocarburos,mining and fuel,-3.1,3.8,0.5,-5.2,-0.8,5.6,-2.4,8.7,9.3,1.5,10.3,9.3,6.1,10.9,6.6
2015,45,mineria metalica,metals,-4.8,0.2,-0.9,-7.7,-2.1,5.8,-1.0,14.7,18.1,8.7,14.1,16.6,13.3,19.9,12.3
2015,45,hidrocarburos,fuel,3.0,17.6,5.7,4.6,4.0,5.1,-7.3,-9.6,-17.1,-22.1,-3.4,-15.1,-19.9,-19.4,-12.3
2015,45,manufactura,manufacturing,-2.6,-3.6,-14.1,-12.0,-3.7,-6.9,-4.4,-4.0,5.7,-3.5,-2.8,-0.5,-2.1,-4.2,-2.5
2015,45,procesadores recursos primarios,based on raw materials,-7.2,-10.8,-40.8,-36.2,-9.3,-15.9,-11.0,-6.5,32.6,3.0,-3.6,-9.9,-4.3,-8.3,-2.0
2015,45,manufactura no primaria,nonprimary,-1.2,-1.5,-1.9,-1.3,-1.5,-3.5,-2.2,-3.3,-5.3,-6.2,-2.1,2.9,-1.4,-3.0,-2.7
2015,45,electricidad y agua,electricity and water,4.8,4.7,4.5,4.3,4.9,4.6,3.7,5.6,5.7,5.4,5.5,5.4,6.7,6.8,5.5
2015,45,construccion,construction,7.0,-3.6,3.7,5.0,1.6,-3.0,-9.8,-8.2,-8.9,-13.8,-3.9,-7.5,-8.6,-4.9,-7.7
2015,45,comercio,commerce,4.5,4.2,3.8,4.5,4.4,3.6,3.4,3.9,3.5,3.7,4.1,4.3,4.0,4.1,3.9
2015,45,otros servicios,other services,6.0,6.1,5.4,5.7,5.9,5.1,5.0,5.5,5.0,4.8,5.5,5.0,4.8,4.2,5.0
2015,45,derechos de importacion y otros impuestos,import duties and other taxes,0.9,-0.7,0.1,1.8,0.8,-2.6,0.8,0.2,-1.2,-4.3,2.8,0.6,1.9,2.3,0.0
2015,45,pbi,gdp,2.7,2.4,0.2,0.5,2.4,1.5,1.0,2.7,4.2,1.1,3.9,3.3,2.6,3.0,2.6
2015,45,sectores primarios,primary sectors,-3.2,0.5,-9.4,-12.0,-2.1,-0.5,-2.7,4.6,12.5,2.6,6.4,4.3,3.2,6.2,4.2
2015,45,sectores no primarios,non primary sectors,4.1,2.9,2.9,3.8,3.6,2.0,2.0,2.2,1.9,0.7,3.1,3.0,2.4,2.2,2.2
2015,45,pbi desestacionalizado,seasonally adjusted gdp,0.5,0.3,-0.6,0.3,,0.5,0.1,0.8,0.8,-1.1,1.2,0.0,-0.1,0.4,
2015,45,indicador de demanda interna,domestic demand indicator,3.3,2.4,0.5,2.8,2.2,-0.3,4.1,4.8,4.9,0.1,3.1,2.3,1.7,4.3,2.8
2015,45,indicador de demanda interna desestacionalizada,seasonally adjusted domestic demand indicator,0.5,0.4,-0.5,0.2,,0.0,1.3,0.5,0.3,-1.5,0.9,-0.6,0.9,2.1,
