year,wr,sectores_economicos,economic_sectors,2014_jun,2014_jul,2014_ago,2014_sep,2014_oct,2014_nov,2014_dic,2014_year,2015_ene,2015_feb,2015_mar,2015_abr,2015_may,2015_jun,2015_ene_jun
2015,32,agropecuario,agriculture and livestock,-3.9,1.7,4.4,1.7,1.0,5.9,2.0,1.6,-2.4,2.2,1.5,-1.4,2.1,8.1,1.9
2015,32,agricola,agriculture,-7.2,1.8,3.0,0.6,0.0,6.4,-0.5,0.4,-7.8,-0.1,0.0,-4.6,0.4,9.0,0.1
2015,32,pecuario,livestock,4.4,5.7,7.7,4.3,6.0,6.3,9.1,5.9,5.0,5.2,3.7,5.6,6.5,6.1,5.3
2015,32,pesca,fishing,-30.1,6.6,-27.0,-35.1,-15.1,-70.8,-65.8,-27.9,-23.5,-11.8,17.7,143.5,23.2,-29.6,19.2
2015,32,mineria e hidrocarburos,mining and fuel,-5.8,-1.6,-3.9,-3.1,3.8,0.5,-5.2,-0.8,5.6,-2.4,8.7,9.3,1.5,10.3,5.5
2015,32,mineria metalica,metals,-6.7,-3.9,-4.4,-4.8,0.2,-0.9,-7.7,-2.1,5.8,-1.0,14.7,18.1,8.7,14.1,10.1
2015,32,hidrocarburos,fuel,-2.6,6.9,-2.3,3.0,17.6,5.7,4.6,4.0,5.1,-7.3,-9.6,-17.1,-22.1,-3.7,-9.4
2015,32,manufactura,manufacturing,-9.3,-5.2,-3.3,-2.6,-3.6,-14.1,-11.9,-3.6,-6.9,-4.0,-4.1,5.7,-3.6,-2.9,-2.6
2015,32,procesadores recursos primarios,based on raw materials,-24.9,-0.4,-4.6,-7.8,-11.5,-41.3,-34.6,-9.7,-15.8,-9.3,-6.5,34.4,3.0,-3.5,1.1
2015,32,manufactura no primaria,nonprimary,0.0,-6.9,-2.7,-0.7,-1.1,-1.6,-1.9,-1.0,-3.6,-2.1,-3.3,-5.3,-6.1,-2.4,-3.8
2015,32,electricidad y agua,electricity and water,4.9,4.3,4.4,4.8,4.7,4.5,4.3,4.9,4.6,3.7,5.6,5.7,5.4,5.5,5.1
2015,32,construccion,construction,2.4,-2.4,-4.0,7.0,-3.6,3.7,5.0,1.6,-3.0,-9.8,-8.2,-8.9,-13.8,-3.1,-7.9
2015,32,comercio,commerce,5.5,4.2,3.2,4.5,4.2,3.8,4.5,4.4,3.6,3.4,3.9,3.5,3.7,4.1,3.7
2015,32,otros servicios,other services,6.0,5.5,5.1,5.9,5.9,5.4,5.6,5.9,5.2,4.9,5.5,5.0,4.9,5.3,5.1
2015,32,derechos de importacion y otros impuestos,import duties and other taxes,-0.1,-1.7,-1.0,0.9,-0.7,0.1,1.8,0.8,-2.6,0.8,0.2,-1.2,-4.3,2.8,-0.8
2015,32,pbi,gdp,0.4,1.5,1.2,2.7,2.4,0.2,0.5,2.4,1.5,1.0,2.7,4.2,1.1,3.9,2.4
2015,32,sectores primarios,primary sectors,-9.3,-0.4,-2.6,-3.3,0.4,-9.5,-11.7,-2.3,-0.5,-2.5,4.7,12.8,2.5,6.6,4.1
2015,32,sectores no primarios,non primary sectors,3.5,2.0,2.2,4.2,2.9,2.9,3.7,3.6,2.0,1.9,2.2,1.8,0.7,3.1,2.0
2015,32,pbi desestacionalizado,seasonally adjusted gdp,-1.0,1.0,-0.2,0.3,0.1,-0.1,0.2,,0.6,0.1,0.8,0.9,-1.0,1.3,
2015,32,indicador de demanda interna,domestic demand indicator,0.3,0.6,2.5,3.3,2.4,0.5,2.8,2.2,-0.3,4.2,4.8,5.0,0.1,2.8,2.7
2015,32,indicador de demanda interna desestacionalizada,seasonally adjusted domestic demand indicator,-0.2,0.4,0.6,0.6,0.4,-0.4,0.2,,-0.4,1.5,0.6,0.1,-1.5,0.4,
