year,wr,sectores_economicos,economic_sectors,2013_dic,2013_year,2014_ene,2014_feb,2014_mar,2014_abr,2014_may,2014_jun,2014_jul,2014_ago,2014_sep,2014_oct,2014_nov,2014_dic,2014_year
2015,08,agropecuario,agriculture and livestock,-0.1,1.6,2.6,0.5,0.9,4.0,-0.1,-4.2,2.2,3.5,2.1,1.4,5.4,0.8,1.4
2015,08,agricola,agriculture,-1.1,1.0,2.4,-1.0,-1.5,4.4,-0.9,-6.9,1.7,3.2,0.9,0.5,6.4,-2.3,0.2
2015,08,pecuario,livestock,1.4,2.5,2.9,2.5,4.7,3.2,2.1,2.6,2.9,3.9,3.6,2.5,4.1,5.2,3.3
2015,08,pesca,fishing,86.8,24.1,-18.1,16.2,-1.9,57.8,-10.2,-30.1,6.6,-27.0,-35.1,-15.1,-70.8,-65.8,-27.9
2015,08,mineria e hidrocarburos,mining and fuel,7.4,4.9,5.7,8.0,1.6,-4.8,-2.0,-5.8,-1.6,-3.9,-3.1,3.8,0.5,-5.2,-0.8
2015,08,mineria metalica,metals,8.4,4.3,8.3,9.9,-0.7,-7.9,-2.9,-6.7,-3.9,-4.4,-4.8,0.2,-0.9,-7.7,-2.1
2015,08,hidrocarburos,fuel,3.6,7.2,-2.6,1.9,9.4,6.0,0.9,-2.6,6.9,-2.3,3.0,17.6,5.7,4.6,4.0
2015,08,manufactura,manufacturing,12.6,5.0,0.1,4.2,8.2,2.1,-1.9,-8.6,-5.1,-3.0,-2.2,-3.3,-13.8,-12.4,-3.3
2015,08,procesadores recursos primarios,based on raw materials,35.0,8.6,3.4,16.1,7.4,26.5,-8.7,-24.9,-0.4,-4.7,-7.8,-11.5,-41.3,-34.6,-9.7
2015,08,manufactura no primaria,nonprimary,4.0,3.7,-1.0,0.9,8.4,-5.2,1.0,0.0,-6.9,-2.7,-0.7,-1.1,-1.6,-1.9,-1.0
2015,08,electricidad y agua,electricity and water,5.9,5.5,4.9,6.1,6.1,4.8,5.1,4.9,4.3,4.4,4.8,4.7,4.5,4.3,4.9
2015,08,construccion,construction,3.5,8.9,4.4,8.6,2.8,-6.4,5.1,2.4,-2.3,-4.0,7.0,-3.6,3.7,5.0,1.7
2015,08,comercio,commerce,7.1,5.9,4.7,5.3,5.6,3.5,4.2,5.5,4.2,3.2,4.5,4.2,3.8,4.5,4.4
2015,08,otros servicios,other services,6.3,6.4,6.7,6.1,6.7,6.1,5.7,5.8,5.3,5.1,5.7,5.8,5.3,5.9,5.8
2015,08,derechos de importacion y otros impuestos,import duties and other taxes,3.5,4.8,1.0,1.6,5.3,1.7,0.9,-0.1,-1.7,-1.0,0.9,-0.7,0.1,1.8,0.8
2015,08,pbi,gdp,7.0,5.8,4.3,5.4,5.4,2.6,2.5,0.4,1.5,1.2,2.7,2.4,0.2,0.5,2.4
2015,08,sectores primarios,primary sectors,11.8,5.0,3.9,7.3,2.2,2.9,-2.7,-9.4,-0.3,-2.8,-3.2,0.5,-9.6,-11.9,-2.3
2015,08,sectores no primarios,non primary sectors,5.8,6.0,4.3,4.9,6.3,2.6,4.1,3.6,2.0,2.2,4.1,2.9,2.9,3.8,3.6
2015,08,pbi desestacionalizado,seasonally adjusted gdp,-0.2,,-0.7,0.7,-0.5,0.8,-0.7,-0.5,0.7,0.1,0.8,0.2,-0.6,0.3,
2015,08,indicador de demanda interna,domestic demand indicator,6.4,7.4,2.7,0.9,6.5,1.7,1.6,0.0,0.1,2.4,3.3,2.1,0.4,2.7,2.0
2015,08,indicador de demanda interna desestacionalizada,seasonally adjusted domestic demand indicator,-0.6,,-0.8,-1.0,1.2,0.6,-1.0,-0.1,1.1,0.2,1.1,0.6,-0.7,1.5,
