sectores_economicos;economic_sectors;1999_ago;1999_sep;1999_oct;1999_nov;1999_dic;1999_year;2000_ene;2000_feb;2000_mar;2000_abr;2000_may;2000_jun;2000_jul;2000_ago;2000_ene_ago
agropecuario;agriculture and livestock;11.1;10;8.2;4.7;-6.1;12;0.8;4.4;6.3;7.6;6.1;8.2;8;6.7;6.2
agricola;agriculture;17.4;16.9;14;5.4;-13.9;14.2;-3.5;5.6;9.9;9.3;6.7;8.8;5.8;4.3;6.5
pecuario;livestock;4.3;3.3;2.4;4.7;6.5;9.3;5.8;3;1.7;4.4;4.7;6.9;11.5;9.3;5.9
pesca;fishing;-10.4;-12.6;29.2;24.8;68.2;28.9;-8.1;-7.8;131.8;-14.7;25.9;26.8;55.9;-19.8;20.1
mineria e hidrocarburos;mining and fuel;10.3;7.4;9.7;13.6;2.9;11.8;4.7;8.2;-0.7;3.7;5.6;-3.6;-0.9;0.9;2.1
mineria;mining;13.3;10;12.8;16.3;4.6;14.3;7.9;10.8;-0.4;5.3;6.6;-1.4;-0.1;1.7;3.7
petroleo y gas;fuels;-11.2;-11.3;-12.7;-6.5;-10.8;-6.4;-13.4;-7.9;-8.7;-9.3;-3.6;-5.9;-4.9;-3;-7.1
manufactura;manufacturing;-6;0;6.3;9;17.4;0.3;10.3;12.2;18.8;6.1;12.8;10.2;10.6;10.8;11.5
procesadores recursos primarios;based on raw materials;-8.6;-4.4;13.3;13.7;33.2;15.6;3.2;3.2;44.4;-2.9;21.3;21.3;32.1;11.8;16.5
resto industria;non primary;-5.3;1.1;4.5;7.7;12.3;-3.4;12.5;14.7;11.8;9;10.3;6.9;5.1;10.5;10
construccion;construction;-19.3;-14.5;-1.6;1.6;-2.8;-10.8;6.9;8.7;0.4;-8.3;4.7;-4.1;-3.5;-0.7;0.5
comercio;commerce;-3.9;0.2;3.6;4.3;0.3;-1.6;7.1;9.5;10.3;6.4;7.4;6.7;5.6;6.9;7.5
otros servicios;other services;-0.8;1.9;2.5;3.3;2.6;1.2;4.6;4.2;4.9;3.9;5.1;3.7;3.4;3.8;4.2
pbi;gdp;-2;1;3.9;5;3.7;1.4;5.5;6.5;7.8;4.2;6.8;4.9;4.8;4.9;5.7
pbi sectores primarios;gdp primary sectors;6.4;5.7;10.4;10.2;7.2;13;2.3;5;13.8;4;8.8;7.6;10.2;5;7.5
pbi sectores no primarios;gdp non primary sectors;-3.5;0.1;2.7;4;3;-0.9;6.2;6.8;6.5;4.3;6.3;4.2;3.6;4.9;5.4
pbi desestacionalizado;seasonally adjusted gdp;-3;3;2;-0.3;0;;1.7;-1.1;4.1;-2;-0.6;1.6;-0.1;-4.1;
pbi promedio de ultimos doce meses;average gdp for the last twelve months;-0.3;-0.2;0.5;0.9;1.4;;1.9;2.5;3.2;3.6;3.8;4;4.4;4.9;
pbi promedio de ultimos tres meses;average gdp for the last three months;0.5;-0.1;0.9;3.3;4.2;;4.7;5.2;6.6;6.1;6.3;5.3;5.5;4.9;
demanda interna promedio de ultimos tres meses;average domestic demand for the last three months;-4.6;-4;-1.1;2.4;3.7;;4.9;5.2;6.1;4.6;5.7;4.8;5.4;4.1;
