target_period,agriculture_2023_1,agriculture_2023_2,agriculture_2023_3,agriculture_2023_4,agriculture_2023_5,agriculture_2023_6,agriculture_2023_7,agriculture_2023_8,agriculture_2023_9,agriculture_2023_10,agriculture_2023_11,agriculture_2023_12,agriculture_2024_1,agriculture_2024_2,agriculture_2024_3,agriculture_2024_4,agriculture_2024_5,agriculture_2024_6,commerce_2023_1,commerce_2023_2,commerce_2023_3,commerce_2023_4,commerce_2023_5,commerce_2023_6,commerce_2023_7,commerce_2023_8,commerce_2023_9,commerce_2023_10,commerce_2023_11,commerce_2023_12,commerce_2024_1,commerce_2024_2,commerce_2024_3,commerce_2024_4,commerce_2024_5,commerce_2024_6,construction_2023_1,construction_2023_2,construction_2023_3,construction_2023_4,construction_2023_5,construction_2023_6,construction_2023_7,construction_2023_8,construction_2023_9,construction_2023_10,construction_2023_11,construction_2023_12,construction_2024_1,construction_2024_2,construction_2024_3,construction_2024_4,construction_2024_5,construction_2024_6,electricity_2023_1,electricity_2023_2,electricity_2023_3,electricity_2023_4,electricity_2023_5,electricity_2023_6,electricity_2023_7,electricity_2023_8,electricity_2023_9,electricity_2023_10,electricity_2023_11,electricity_2023_12,electricity_2024_1,electricity_2024_2,electricity_2024_3,electricity_2024_4,electricity_2024_5,electricity_2024_6,fishing_2023_1,fishing_2023_2,fishing_2023_3,fishing_2023_4,fishing_2023_5,fishing_2023_6,fishing_2023_7,fishing_2023_8,fishing_2023_9,fishing_2023_10,fishing_2023_11,fishing_2023_12,fishing_2024_1,fishing_2024_2,fishing_2024_3,fishing_2024_4,fishing_2024_5,fishing_2024_6,gdp_2023_1,gdp_2023_2,gdp_2023_3,gdp_2023_4,gdp_2023_5,gdp_2023_6,gdp_2023_7,gdp_2023_8,gdp_2023_9,gdp_2023_10,gdp_2023_11,gdp_2023_12,gdp_2024_1,gdp_2024_2,gdp_2024_3,gdp_2024_4,gdp_2024_5,gdp_2024_6,manufacturing_2023_1,manufacturing_2023_2,manufacturing_2023_3,manufacturing_2023_4,manufacturing_2023_5,manufacturing_2023_6,manufacturing_2023_7,manufacturing_2023_8,manufacturing_2023_9,manufacturing_2023_10,manufacturing_2023_11,manufacturing_2023_12,manufacturing_2024_1,manufacturing_2024_2,manufacturing_2024_3,manufacturing_2024_4,manufacturing_2024_5,manufacturing_2024_6,mining_2023_1,mining_2023_2,mining_2023_3,mining_2023_4,mining_2023_5,mining_2023_6,mining_2023_7,mining_2023_8,mining_2023_9,mining_2023_10,mining_2023_11,mining_2023_12,mining_2024_1,mining_2024_2,mining_2024_3,mining_2024_4,mining_2024_5,mining_2024_6,services_2023_1,services_2023_2,services_2023_3,services_2023_4,services_2023_5,services_2023_6,services_2023_7,services_2023_8,services_2023_9,services_2023_10,services_2023_11,services_2023_12,services_2024_1,services_2024_2,services_2024_3,services_2024_4,services_2024_5,services_2024_6
2011m11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011m12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012m1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012m2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012m3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012m4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012m5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012m6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012m7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012m8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
