sectores_economicos;economic_sectors;1997_ene;1997_feb;1997_mar;1997_abr;1997_may;1997_jun;1997_jul;1997_ago;1997_sep;1997_oct;1997_nov;1997_dic;1997_ene_dic;1998_ene;1998_feb;1998_ene_feb
agropecuario;agriculture and livestock;23.4;16.1;14.6;7;8.3;-1.9;-2.3;-9.2;0.2;2.9;4.7;9.9;4.9;-1.7;2.7;0.6
agricola;agriculture;40.8;21.3;20.2;7;9.9;-3.2;-5.1;-17;-6.5;-4.4;-3.2;9.9;3.4;-6.1;3;-1.4
pecuario;livestock;4.3;9;4.9;7;2.7;3.8;6.2;8.8;11.5;13.2;15.2;10;8;4.9;2.1;3.5
pesca;fishing;-18.9;-20;31.2;45.3;29;-11.4;-1.3;33.6;37;43.1;-51.9;-73.7;-9.7;-78;-46.7;-67.6
mineria;mining and fuel;3.6;5.4;6;8.3;9.2;5.1;2.1;8.1;7.6;3.9;5.6;5;5.8;5.8;3.3;4.5
mineria metalica;metals;4.7;9.4;7.1;10;12.9;9.1;5.7;14.7;16.3;10.2;11.3;10.9;10.2;10.4;5.9;8.1
petroleo crudo;fuels;1.8;-1.3;4.1;5.5;3.2;-1.6;-4.7;-3.8;-6.4;-6.9;-4.8;-4.9;-1.7;-1.8;-1.8;-1.8
manufactura;manufacturing;3.4;0.1;5.5;20.4;7.5;9.6;5.6;6.9;12;13.8;-0.8;-3.1;6.5;-2.4;0.4;-1
procesadores recursos primarios;based on raw materials;-1.8;-10.8;9.5;28.2;12.4;1.1;3.1;7.1;18;14.3;-16.2;-30.7;1.3;-26.5;-10.8;-19.8
resto industria;non primary;5.8;4.1;4.3;16.7;5.1;13.5;6.5;6.8;10.1;13.6;7.3;11.6;8.7;7.8;3.9;5.9
construccion;construction;10.7;15.3;3.1;22.5;16.4;34.6;37.6;15.1;35.7;24.6;20.2;20.1;21.3;8.2;0.7;4.5
comercio;commerce;6.2;3.2;5.6;17.6;5.3;5.8;4.3;7.6;12.7;8.3;4.4;7.4;7.5;-0.1;1.8;0.8
otros servicios;other services;3.6;3.5;3.8;9.2;4.9;8.7;6.2;7.6;9.2;5.4;5.9;5.4;6.2;2;3.1;2.5
pbi;gdp;5.9;5;6;14;7.7;7.8;6.6;6.1;11.7;9.4;4.2;4;7.4;0.2;1.7;0.9
pbi promedio de ultimos doce meses;average gdp for the last twelve months;3.2;3.3;3.8;4.9;5.4;5.7;5.8;6.2;7.1;7.8;7.7;7.4;;6.9;6.6;
pbi desestacionalizado;seasonally adjusted gdp;0.7;1.1;-0.5;8.2;-5.2;1.1;0.2;-1.6;3.2;-1.2;-2.3;0.8;;-3.2;2.7;
