target_period,agriculture_2018_10,fishing_2018_10,manufacturing_2018_10,electricity_2018_10,construction_2018_10,commerce_2018_10,services_2018_10,gdp_2018_10
2016q1,2.6,1.8,-2.6,10.3,2.2,2.8,4.5,4.6
2016q2,1.7,-59.6,-8.0,7.2,1.3,2.3,4.3,3.9
2016q3,2.5,68.3,2.1,6.6,-3.7,1.4,4.2,4.7
2016q4,4.3,27.6,3.0,5.3,-9.2,0.9,3.1,3.1
2016,2.7,-10.1,-1.4,7.3,-3.0,1.8,4.0,4.0
2017q1,-0.3,37.9,2.3,1.1,-5.5,0.1,3.1,2.3
2017q2,0.5,128.8,4.4,1.6,-3.3,0.9,2.9,2.6
2017q3,6.7,-42.8,-1.7,1.7,5.9,1.4,3.4,2.7
2017q4,4.4,-51.5,-5.3,0.2,9.0,1.7,3.8,2.3
2017,2.6,4.7,-0.2,1.1,2.1,1.0,3.3,2.5
2018q1,5.7,6.1,0.5,2.0,4.6,2.7,4.2,3.1
2018q2,10.2,29.2,10.8,4.6,7.4,3.2,5.1,5.4
