target_period,agriculture_2018_11,fishing_2018_11,mining_2018_11,manufacturing_2018_11,electricity_2018_11,construction_2018_11,commerce_2018_11,services_2018_11,gdp_2018_11
2016q1,2.6,1.8,15.7,-2.6,10.3,2.3,2.8,4.5,4.6
2016q2,1.7,-59.6,23.6,-8.0,7.2,1.1,2.3,4.3,3.9
2016q3,2.5,68.3,16.0,2.1,6.6,-3.9,1.4,4.3,4.8
2016q4,4.3,27.6,10.8,3.0,5.3,-9.6,0.9,3.0,3.0
2016,2.7,-10.1,16.3,-1.4,7.3,-3.2,1.8,4.0,4.0
2017q1,-0.3,37.9,4.3,2.3,1.1,-5.5,0.1,3.1,2.2
2017q2,0.4,128.8,2.0,4.4,1.6,-3.1,0.9,2.9,2.6
2017q3,6.6,-42.8,4.5,-1.7,1.7,5.9,1.4,3.3,2.7
2017q4,4.4,-51.5,2.9,-5.3,0.2,9.0,1.7,3.8,2.3
2017,2.6,4.7,3.4,-0.2,1.1,2.1,1.0,3.3,2.5
2018q1,6.4,6.1,0.5,0.5,1.9,5.1,2.7,4.2,3.2
2018q2,10.8,29.2,-0.6,10.9,4.6,7.4,3.2,5.1,5.5
2018q3,5.4,4.9,-2.7,1.6,3.5,0.7,2.2,3.7,2.3
