target_period,agriculture_2013_2,fishing_2013_2,mining_2013_2,manufacturing_2013_2,electricity_2013_2,construction_2013_2,commerce_2013_2,services_2013_2,gdp_2013_2
2011m12,-1.3,74.5,4.2,3.7,7.3,3.8,7.0,7.2,6.0
2012m1,2.4,-15.5,-0.9,-0.9,5.7,12.5,7.7,7.1,5.5
2012m2,3.1,-10.9,3.7,1.7,7.4,10.1,8.9,8.6,6.9
2012m3,2.2,-4.5,7.3,-2.7,5.8,14.7,7.2,7.2,5.7
2012m4,1.3,-44.7,6.8,-4.1,5.1,14.6,6.1,6.7,4.6
2012m5,10.8,5.4,1.3,2.9,5.3,15.8,6.5,7.5,7.1
2012m6,11.3,20.6,4.9,1.5,4.7,19.7,6.7,7.6,7.4
2012m7,3.2,0.8,4.5,5.0,5.7,21.4,6.9,8.0,7.5
2012m8,4.4,-12.0,0.6,4.4,5.3,17.4,6.5,6.7,6.5
2012m9,4.8,18.9,5.1,1.6,4.1,19.2,5.3,6.4,6.3
2012m10,3.2,15.4,-3.3,4.5,3.7,16.1,5.9,8.0,6.8
2012m11,3.9,-15.8,-1.4,4.2,5.6,16.8,6.3,7.5,6.8
2012m12,7.4,-47.2,-1.7,-2.0,4.3,5.3,7.0,5.8,4.3
