target_period,agriculture_2013_1,fishing_2013_1,mining_2013_1,manufacturing_2013_1,electricity_2013_1,construction_2013_1,commerce_2013_1,services_2013_1,gdp_2013_1
2011m11,4.1,0.3,-1.1,-0.2,6.9,3.2,7.0,7.4,5.1
2011m12,-1.3,74.5,4.2,3.7,7.3,3.8,7.0,7.2,6.0
2012m1,2.9,-15.5,-0.3,-1.0,5.7,12.5,7.7,7.1,5.5
2012m2,2.9,-10.9,3.7,1.8,7.4,10.1,8.9,8.6,6.9
2012m3,2.2,-4.5,7.2,-2.7,5.8,14.7,7.2,7.1,5.7
2012m4,0.9,-44.7,6.7,-4.1,5.1,14.6,6.1,6.6,4.5
2012m5,10.1,5.4,1.2,2.9,5.3,15.8,6.5,7.4,7.0
2012m6,10.1,20.6,4.8,1.6,4.7,19.7,6.7,7.5,7.3
2012m7,2.0,0.8,4.3,5.0,5.7,21.4,6.9,7.8,7.4
2012m8,3.6,-11.9,0.6,4.3,5.3,17.4,6.5,6.5,6.3
2012m9,4.1,19.1,5.0,1.3,4.2,19.2,5.3,5.9,5.9
2012m10,2.4,20.2,-3.3,4.5,4.0,16.3,5.9,7.8,6.7
2012m11,2.8,-12.0,-1.4,4.8,6.1,16.8,6.3,7.6,6.8
