target_period,agriculture_2013_8,fishing_2013_8,mining_2013_8,manufacturing_2013_8,electricity_2013_8,construction_2013_8,commerce_2013_8,services_2013_8,gdp_2013_8
2012m6,10.9,20.6,5.0,1.4,4.7,19.7,6.7,7.3,7.3
2012m7,3.3,0.8,4.6,5.1,5.7,21.4,6.9,7.9,7.6
2012m8,5.1,-12.0,0.7,4.5,5.3,17.4,6.5,6.8,6.6
2012m9,5.0,18.9,5.2,1.6,4.1,15.1,5.3,6.4,6.0
2012m10,4.8,15.4,-3.2,4.7,3.7,16.1,5.9,7.9,6.9
2012m11,2.9,-15.8,-1.3,4.1,5.6,16.8,6.3,7.5,6.6
2012m12,10.1,-47.2,-1.6,-2.0,4.5,5.3,7.0,5.9,4.4
2013m1,7.3,14.2,-4.9,3.9,6.3,18.4,5.5,6.8,6.4
2013m2,5.8,13.6,-1.8,0.0,3.9,14.3,5.6,5.4,4.9
2013m3,5.4,-16.5,-2.3,-4.6,4.1,3.8,4.0,3.8,2.4
2013m4,2.5,-4.7,4.8,5.3,6.4,26.5,7.5,7.3,7.6
2013m5,-1.6,-15.2,3.7,1.2,5.6,10.7,6.6,6.1,4.8
2013m6,-0.6,2.2,6.0,2.8,6.0,7.0,5.0,5.1,4.4
