year,wr,sectores_economicos,economic_sectors,2019_1,2019_2,2019_3,2019_4,2019_year,2020_1,2020_2,2020_3,2020_4,2020_year,2021_1,2021_2,2021_3
2021,46,agropecuario,agriculture and livestock,4.8,2.4,2.2,5.3,3.5,4.0,2.3,-1.7,0.8,1.4,0.0,-0.2,9.6
2021,46,pesca,fishing,-12.9,-27.3,29.5,-23.9,-17.2,-16.5,-14.5,14.9,38.6,4.2,37.3,21.2,-37.8
2021,46,mineria e hidrocarburos,mining and fuel,-0.5,-2.2,0.3,2.1,0.0,-5.7,-34.3,-10.2,-3.9,-13.4,0.0,38.9,4.3
2021,46,manufactura,manufacturing,-0.7,-6.8,3.9,-2.4,-1.7,-9.3,-36.2,-6.9,2.0,-12.5,16.7,60.9,8.4
2021,46,electricidad y agua,electricity and water,5.9,3.8,3.7,2.4,3.9,-1.9,-19.4,-3.1,-0.2,-6.1,2.8,25.3,6.3
2021,46,construccion,construction,2.2,7.4,3.4,-4.8,1.4,-12.0,-66.1,-4.5,19.0,-13.9,41.6,230.9,23.8
2021,46,comercio,commerce,2.4,2.7,3.3,3.6,3.0,-7.1,-46.8,-8.1,-2.6,-16.0,1.4,85.9,10.1
2021,46,otros servicios,other services,3.8,3.5,3.9,3.3,3.6,-1.5,-24.7,-10.7,-4.6,-10.3,0.6,31.4,13.7
2021,46,pbi global,gdp,2.4,1.1,3.3,1.8,2.2,-3.9,-29.9,-8.8,-1.4,-11.0,4.5,41.9,11.4
2021,46,sectores primarios,primary sectors,-1.2,-4.4,1.9,0.5,-0.9,-2.9,-20.0,-6.5,0.2,-7.7,2.6,20.1,3.0
2021,46,sectores no primarios,nonprimary sectors,3.5,3.0,3.6,2.2,3.1,-4.2,-33.1,-9.4,-1.8,-12.0,5.0,50.3,13.8
