year,wr,sectores_economicos,economic_sectors,2018_1,2018_2,2018_3,2018_4,2018_year,2019_1,2019_2,2019_3,2019_4,2019_year,2020_1,2020_2,2020_3,2020_4,2020_year,2021_1
2021,20,agropecuario,agriculture and livestock,7.1,11.1,6.3,5.0,7.7,4.8,2.4,2.2,5.3,3.5,3.7,2.3,-1.5,0.4,1.3,0.2
2021,20,pesca,fishing,13.8,34.2,16.1,168.1,47.7,-12.9,-27.3,29.5,-23.9,-17.2,-18.1,-15.4,11.8,35.0,2.1,38.6
2021,20,mineria e hidrocarburos,mining and fuel,0.2,-0.8,-3.0,-2.2,-1.5,-0.5,-2.2,0.3,2.1,0.0,-5.7,-34.3,-10.1,-3.9,-13.4,-0.1
2021,20,manufactura,manufacturing,0.5,10.7,1.8,10.2,5.9,-0.7,-6.8,3.9,-2.4,-1.7,-9.4,-36.3,-7.6,1.2,-13.0,15.6
2021,20,electricidad y agua,electricity and water,2.3,5.0,3.9,6.3,4.4,5.9,3.8,3.7,2.4,3.9,-1.9,-19.4,-3.1,-0.2,-6.1,2.8
2021,20,construccion,construction,4.5,7.0,1.1,8.1,5.3,2.2,7.4,3.4,-4.8,1.4,-12.5,-66.1,-4.4,19.0,-13.9,40.6
2021,20,comercio,commerce,2.7,3.2,2.2,2.5,2.6,2.4,2.7,3.3,3.6,3.0,-7.1,-46.8,-8.1,-2.6,-16.0,-0.5
2021,20,otros servicios,other services,4.1,5.3,3.9,4.4,4.4,3.8,3.5,3.9,3.3,3.6,-0.7,-24.9,-10.8,-4.9,-10.3,-0.1
2021,20,pbi global,gdp,3.1,5.6,2.5,4.7,4.0,2.4,1.1,3.3,1.8,2.2,-3.6,-30.0,-9.0,-1.7,-11.1,3.8
2021,20,sectores primarios,primary sectors,2.0,6.6,-0.6,5.6,3.5,-1.2,-4.4,1.9,0.5,-0.9,-3.0,-20.0,-6.6,-0.1,-7.8,2.6
2021,20,sectores no primarios,nonprimary sectors,3.5,5.2,3.4,4.4,4.1,3.5,3.0,3.6,2.2,3.1,-3.7,-33.2,-9.6,-2.1,-12.0,4.1
