target_period,agriculture_2022_3,fishing_2022_3,mining_2022_3,manufacturing_2022_3,electricity_2022_3,construction_2022_3,commerce_2022_3,services_2022_3,gdp_2022_3
2018,7.7,47.7,-1.5,5.9,4.4,5.3,2.6,4.4,4.0
2019q1,4.8,-12.9,-0.5,-0.7,5.9,2.2,2.4,3.8,2.4
2019q2,2.4,-27.3,-2.2,-6.8,3.8,7.4,2.7,3.5,1.1
2019q3,2.2,29.5,0.3,3.9,3.7,3.4,3.3,3.9,3.3
2019q4,5.3,-23.9,2.1,-2.4,2.4,-4.8,3.6,3.3,1.8
2019,3.5,-17.2,0.0,-1.7,3.9,1.4,3.0,3.6,2.2
2020q1,4.0,-16.5,-5.7,-9.3,-1.9,-12.0,-7.1,-1.5,-3.9
2020q2,1.8,-14.5,-34.3,-36.2,-19.4,-66.1,-46.8,-24.7,-29.9
2020q3,-1.9,14.9,-10.2,-6.9,-3.1,-4.4,-8.1,-10.7,-8.8
2020q4,0.2,38.6,-3.9,2.0,-0.2,20.1,-2.6,-4.6,-1.3
2020,1.0,4.2,-13.4,-12.5,-6.1,-13.5,-16.0,-10.3,-11.0
2021q1,-0.2,37.3,0.0,16.3,2.8,41.9,1.4,0.5,4.4
2021q2,0.6,21.2,39.0,60.9,25.3,231.0,85.9,31.2,41.9
2021q3,10.5,-37.8,4.4,8.3,6.3,24.0,10.1,13.5,11.4
2021q4,5.6,-7.4,-3.4,1.3,3.0,-5.8,3.9,6.7,3.2
2021,3.8,2.8,7.4,17.8,8.6,34.9,17.8,11.8,13.3
