sectores_económicos;economic_sectors;1994_1;1994_2;1994_3;1994_4;1994_year;1995_1;1995_2;1995_3;1995_4;1995_year;1996_1;1996_2;1996_3;1996_4;1996_year
agropecuario;agriculture and livestock;11.6;27.5;4.8;7.2;13.7;10.6;7.7;8.8;2.7;7.6;-0.1;8.2;5.6;6.5;5.6
agrícola;agriculture;11.4;35.1;5.6;4.3;16.7;13.1;6.9;5.4;-1.6;6.1;-0.7;9.4;8.1;14.3;8.1
pecuario;livestock;11.8;7.1;2.9;11.1;8.2;7.5;10.3;16.8;8.3;10.6;0.7;4.2;0.2;-2.4;0.6
pesca;fishing;14.6;37.4;16;20.8;23.1;0.5;-13.6;-24.1;-23.9;-14.6;-19.3;11;2.5;27.4;5.2
minería;mining and fuel;7.6;10;3.7;2.7;5.9;4.7;0.9;3.7;3.1;3.1;1.5;2.8;4.1;4;3.1
minería metálica;metals;8.6;13.3;7.2;10;9.7;11.7;3.8;10.1;7.8;8.3;5.1;7.7;6.3;4;5.8
petróleo crudo;fuel;6.2;5.7;-0.9;-7;0.8;-4.6;-3.1;-5.6;-4.2;-4.4;-4.2;-4.7;0.4;4;-1.2
manufactura;manufacturing;11.3;16.2;16.3;19;15.7;10.8;5.9;3.7;-1.5;4.5;0.9;1.8;2.5;5.3;2.6
procesadores recursos primarios;based on raw materials;13.3;21.3;11.3;14.8;15.3;-2.5;-4.2;-8.4;-9.4;-6.1;-6.4;4.9;8.4;14.4;5.3
resto industria;non primary;10.4;13.7;18.3;21.1;15.9;17.4;11.2;8.4;2.3;9.5;3.9;0.4;0.5;1.5;1.6
construcción;construction;27.8;31.8;32.8;43.8;34.6;32;31.6;12.4;1.5;17.5;-4.2;-10.4;-4.3;0.2;-4.6
gobierno;government;3.1;3.1;3.1;3.1;3.1;2.5;2.5;2.5;2.5;2.5;1.6;0.5;0.5;-0.4;0.4
otros;others;8.8;12.1;9.7;13;11;14.4;10.5;8;1.6;8.4;0.6;4.3;4.1;6.3;3.8
comercio;commerce;15.1;17.3;16.7;18.9;17;21.2;15.6;12;2.6;12.7;-1;4.6;2.8;5.5;3
resto;remaining;5.6;9.5;6.5;10.2;8;10.6;7.7;5.9;1;6.2;1.5;4.1;4.8;6.8;4.3
pbi;gdp;10.7;16.1;11;14.4;13.1;12.7;8.7;6.5;0.8;7;0;2.9;2.9;5.1;2.8
pbi desestacionalizado;seasonally adjusted gdp;3.7;4.5;1.1;4.4;;2.1;0.8;-1;-1.2;;1.4;3.8;-1;0.9;
