sectores_económicos;economic_sectors;1995_1;1995_2;1995_3;1995_4;1995_year;1996_1;1996_2;1996_3;1996_4;1996_year;1997_1;1997_2
agropecuario;agriculture and livestock;10.7;7.8;8.8;2.8;7.6;1.4;8.1;4;8.3;5.8;15.2;2.8
agrícola;agriculture;13.2;7;5.5;-1.5;6.2;1.8;9.4;6.1;16.9;8.3;22.5;2.5
pecuario;livestock;7.6;10.4;16.7;8.4;10.7;0.7;4;-0.5;-1.7;0.6;5;3.4
pesca;fishing;-5.4;-20.4;-30.4;-23.4;-19.1;-19.7;10.9;2.2;26.6;5.1;-12.1;12.7
minería;mining and fuel;4.3;0.5;3.2;2.7;2.6;1.3;2.5;3.9;3.6;2.8;4.7;7.1
minería metálica;metals;11.1;3;9.2;7.1;7.6;4.8;7.3;6;3.3;5.3;6.6;10
petróleo crudo;fuel;-4.6;-3.1;-5.6;-4.2;-4.4;-4.2;-4.7;0.4;4;-1.2;1.6;2.3
manufactura;manufacturing;10.4;5;3.8;-1.5;4.2;1.1;2.3;2.4;5;2.7;3;12.4
procesadores recursos primarios;based on raw materials;-3.4;-6.8;-7.2;-9;-6.7;-5.5;6.5;7.6;13.3;5.5;-1.8;13.9
resto industria;non primary;17.3;11.3;8.1;2.1;9.4;3.7;0.4;0.7;1.5;1.6;4.7;11.7
construcción;construction;32;31.6;12.4;1.5;17.5;-4.2;-10.4;-4.3;0.2;-4.6;9.7;24.1
comercio;commerce;20.8;15;11.8;2.7;12.4;-0.3;4.9;2.8;5.5;3.2;4.7;8.9
otros servicios;other services;10.9;8.1;6.9;2.8;7;1.5;3.2;2.9;3.8;2.9;3.6;7.6
pbi;gdp;12.8;8.7;6.8;1.2;7.2;0.3;2.9;2.3;4.6;2.6;5.3;9.2
pbi desestacionalizado;seasonally adjusted gdp;2.3;0.8;-0.9;-1.1;;1.4;3.5;-1.4;1.1;;2;7.3
