target_period,agriculture_2013_9,fishing_2013_9,mining_2013_9,manufacturing_2013_9,electricity_2013_9,construction_2013_9,commerce_2013_9,services_2013_9,gdp_2013_9
2010q1,4.4,-2.2,1.1,7.8,6.5,16.8,8.1,4.7,6.2
2010q2,5.0,-8.7,1.7,17.3,8.6,21.5,11.0,8.5,10.0
2010q3,3.0,-23.1,-2.3,17.8,8.4,16.6,9.6,8.7,9.5
2010q4,7.2,-18.0,-1.0,13.5,7.3,15.5,9.9,8.6,9.2
2010,4.9,-12.2,-0.1,14.1,7.7,17.4,9.7,7.7,8.8
2011q1,3.6,21.4,-0.3,12.2,7.3,5.7,10.3,8.9,8.6
2011q2,4.1,19.0,-2.3,6.0,7.4,-0.3,8.8,8.8,6.9
2011q3,6.4,59.8,0.9,3.8,7.7,1.7,8.6,8.0,6.6
2011q4,2.7,42.8,0.9,1.2,7.3,5.0,7.6,7.0,5.6
2011,4.2,31.8,-0.2,5.6,7.4,3.0,8.8,8.1,6.9
2012q1,3.5,-10.4,3.5,-0.6,6.3,12.4,7.9,7.6,6.1
2012q2,8.1,-10.9,4.3,2.7,5.0,16.7,6.4,6.4,6.4
2012q3,4.4,0.8,3.5,3.7,5.0,17.8,6.2,7.0,6.7
2012q4,6.0,-25.0,-2.1,2.2,4.6,12.4,6.4,7.0,5.9
2012,5.8,-11.7,2.2,1.4,5.2,14.8,6.7,7.0,6.3
2013q1,6.1,3.2,-3.0,-0.3,4.8,11.9,5.0,5.5,4.6
2013q2,0.0,-6.1,4.8,3.1,6.0,14.5,6.4,6.3,5.6
