target_period,agriculture_2013_4,fishing_2013_4,mining_2013_4,manufacturing_2013_4,electricity_2013_4,construction_2013_4,commerce_2013_4,services_2013_4,gdp_2013_4
2010q1,3.8,-8.2,1.1,7.5,6.5,16.8,8.1,4.9,6.2
2010q2,4.4,-9.7,1.7,16.8,8.6,21.5,11.0,8.8,10.0
2010q3,2.4,-27.0,-2.3,17.4,8.4,16.6,9.6,9.3,9.6
2010q4,6.6,-25.3,-1.0,13.0,7.3,15.5,9.9,8.9,9.2
2010,4.3,-16.4,-0.1,13.6,7.7,17.4,9.7,8.0,8.8
2011q1,3.0,12.3,-0.3,12.3,7.3,8.1,10.3,9.3,8.8
2011q2,2.9,20.8,-2.3,6.0,7.4,0.4,8.8,9.0,6.9
2011q3,7.2,66.0,0.9,3.8,7.7,1.8,8.6,8.0,6.7
2011q4,2.3,36.6,0.9,1.0,7.2,3.8,7.6,7.1,5.5
2011,3.8,29.7,-0.2,5.6,7.4,3.4,8.8,8.3,6.9
2012q1,2.5,-9.7,3.3,-0.7,6.3,12.5,7.9,7.6,6.0
2012q2,7.7,-11.7,4.2,0.1,5.0,16.6,6.4,7.3,6.4
2012q3,4.0,0.6,3.4,3.6,5.0,19.2,6.2,7.0,6.8
2012q4,4.9,-22.4,-2.1,2.2,4.5,12.6,6.4,7.1,5.9
2012,5.1,-11.9,2.2,1.3,5.2,15.2,6.7,7.2,6.3
