SECTORES ECONÓMICOS;2009;;;;;2010;;;;;2011;;;ECONOMIC SECTORS
;I;II;III;IV;AÑO;I;II;III;IV;AÑO;I;II;III;
;;;;;;;;;;;;;;
Agropecuario;4.429367133;1.143813637;2.30932233;1.907131825;2.29442892;3.846833706;4.428734604;2.378505492;6.563876766;4.286827564;3.569327857;2.595504163;6.209780992;Agriculture and Livestock
  Agrícola;3.553277809;-0.211657098;0.440828012;0.782991998;0.906907626;3.937745248;4.205884873;2.072302781;6.719206861;4.176112876;0.210937844;1.087739293;8.131867212;  Agriculture
  Pecuario;5.57348479;4.230426229;4.705894361;3.188107583;4.404016489;3.723188976;4.868573929;2.764359212;6.37260151;4.437536655;7.906479675;5.823748722;3.900206142;  Livestock
;;;;;;;;;;;;;;
Pesca;-14.23795401;1.390173094;-6.072368926;-14.61974217;-7.900522026;-8.249842112;-9.713663155;-27.01910977;-25.31402536;-16.44431964;12.4169017;20.72148411;65.51514501;Fishing
;;;;;;;;;;;;;;
Minería e Hidrocarburos;3.706610813;0.531497076;0.108067129;-1.582703642;0.602036673;1.14483093;1.724175238;-2.300116675;-0.999452143;-0.148622392;-0.339560387;-2.28137059;0.864571896;Mining and fuel
  Minería metálica;0.867715144;-1.035150448;-2.023763251;-3.229518474;-1.413138381;-1.011912785;-2.280387938;-8.410143531;-7.627251152;-4.908845891;-5.654749316;-7.709163721;-1.137524079;  Metals
  Hidrocarburos;30.36294844;16.72368159;18.41315129;3.366432835;16.13333426;11.04395749;22.25562822;37.42024177;44.782021;29.45930623;34.6332778;31.47996003;10.35860406;  Fuel
;;;;;;;;;;;;;;
Manufactura;-4.203156627;-11.5648928;-10.32764827;-2.334062623;-7.151212642;7.466777138;16.84589694;17.35702898;12.95182616;13.61666709;12.41329038;5.83085763;3.650421459;Manufacturing
  De procesamiento de recursos primarios;3.914321828;2.164164139;0.696016588;-6.273416533;0.034927416;-5.597609129;-1.863990301;2.366732141;-3.735263272;-2.338641499;12.44647482;11.30867737;14.46314765;  Based on raw materials 2/
  No primaria;-5.670936315;-14.35731386;-12.0681673;-1.568252188;-8.515280074;10.09247833;21.41682209;20.06104304;16.16842832;16.88936506;12.41307905;4.769233672;1.986853976;  Non-primary
;;;;;;;;;;;;;;
Electricidad y agua;1.211618654;0.320183689;-0.258733606;3.470025043;1.192526239;6.460632141;8.625139917;8.432117751;7.26832794;7.689145453;7.303606411;7.393883293;7.748527932;Electricity and water 
;;;;;;;;;;;;;;
Construcción;5.140087813;-1.070500051;4.895381755;14.81984396;6.147241617;16.77208228;21.52393704;16.56296436;15.49780168;17.43063374;8.058260497;0.37208559;1.817291915;Construction
;;;;;;;;;;;;;;
Comercio;0.399550391;-2.121059499;-1.766998048;2.173222804;-0.399862142;8.130247947;10.97958235;9.600195519;9.871182642;9.687805823;10.33113186;8.84972783;8.593919537;Commerce
;;;;;;;;;;;;;;
Otros servicios 2/;3.651456873;1.734834137;1.772631315;5.184230889;3.100723207;4.90356944;8.849392373;9.267939459;8.902707005;8.045119026;9.327401391;8.943645222;7.939559048;Other services 2/
;;;;;;;;;;;;;;
PBI;1.900872795;-1.198545815;-0.587600615;3.44393321;0.861695031;6.162265757;10.02214922;9.600906505;9.203051522;8.794749774;8.884827017;6.818169139;6.594651626;GDP
;;;;;;;;;;;;;;
PBI de los sectores primarios;3.504488542;1.139809425;1.041639978;-1.413622844;1.035711809;0.897474181;2.202528457;0.003398927;1.08534721;1.11501688;3.884111015;3.066450095;6.535681889;Primary sectors gross domestic product
PBI de los sectores no primarios;1.588287161;-1.736459368;-0.895209993;4.360817328;0.826750753;7.207865413;11.87362233;11.44838144;10.65052059;10.3401117;9.819522373;7.629683047;6.604837312;Non- primary sectors gross domestic product
