SECTORES ECONÓMICOS;2008;;;;;2009;;;;;2010;;;;;ECONOMIC SECTORS
;I;II;III;IV;AÑO;I;II;III;IV;AÑO;I;II;III;IV;AÑO;
;;;;;;;;;;;;;;;;
Agropecuario;4.048808877;8.013706611;9.434138024;7.10408736;7.246667762;4.429367133;1.143813637;2.30932233;1.907131825;2.29442892;3.846833706;4.428734604;2.378505492;6.563876766;4.286827564;Agriculture and Livestock
  Agrícola;4.633263727;8.364017576;10.41574376;5.137462593;7.359216634;3.553277809;-0.211657098;0.440828012;0.782991998;0.906907626;3.937745248;4.205884873;2.072302781;6.719206861;4.176112876;  Agriculture
  Pecuario;1.976657842;6.266482849;7.251445521;8.517343642;6.015017884;5.57348479;4.230426229;4.705894361;3.188107583;4.404016489;3.723188976;4.868573929;2.764359212;6.37260151;4.437536655;  Livestock
;;;;;;;;;;;;;;;;
Pesca;3.87065036;1.920163372;21.12349321;4.550143974;6.309650901;-14.23795401;1.390173094;-6.072368926;-14.61974217;-7.900522026;-8.403587382;-9.868675661;-27.15185142;-25.45240397;-16.59077265;Fishing
;;;;;;;;;;;;;;;;
Minería e Hidrocarburos;6.111596492;9.917115925;7.672650616;6.877406619;7.630877106;3.706610813;0.531497076;0.108067129;-1.582703642;0.602036673;0.409166253;0.51610887;-2.809052829;-1.218355441;-0.808245938;Mining and fuel
  Minería metálica;6.696864121;10.62210066;7.201402084;4.864354383;7.276207004;0.867715144;-1.035524597;-2.023763251;-3.229518474;-1.413293285;-1.011912785;-2.278837415;-8.410143531;-7.627251152;-4.908902046;  Metals
  Hidrocarburos;2.004173967;4.917874634;9.949940032;22.79951118;10.27969953;30.36294844;16.72368159;18.41315129;3.366432835;16.13333426;11.04395749;22.25562822;37.42024177;44.782021;29.45930623;  Fuel
;;;;;;;;;;;;;;;;
Manufactura;10.79859959;11.35351156;10.48184652;4.033241028;9.058483633;-4.203156627;-11.5648928;-10.32764827;-2.334062623;-7.151212642;7.466777138;16.84589694;17.35702898;12.95182616;13.61666709;Manufacturing
  De procesamiento de recursos primarios;12.49075378;5.406127985;3.370316956;9.390658188;7.612445659;3.914321828;2.164164139;0.696016588;-6.273416533;0.034927416;-5.597609129;-1.863990301;2.366732141;-3.735263272;-2.338641499;  Based on raw materials 2/
  No primaria;10.24347077;12.32532361;11.08252969;2.264272639;8.859329052;-5.670936315;-14.35731386;-12.0681673;-1.568252188;-8.515280074;10.09247833;21.41682209;20.06104304;16.16842832;16.88936506;  Non-primary
;;;;;;;;;;;;;;;;
Electricidad y agua;9.269914016;8.415127544;8.783841327;5.061918743;7.846561044;1.211618654;0.320183689;-0.258733606;3.470025043;1.192526239;6.460632141;8.625139917;8.432117751;7.267994181;7.689059227;Electricity and water 
;;;;;;;;;;;;;;;;
Construcción;19.23848655;21.22070732;15.96515664;10.74956818;16.45707697;5.140087813;-1.070500051;4.895381755;14.81984396;6.147241617;16.77208228;21.52393704;16.56296436;15.49780168;17.43063374;Construction
;;;;;;;;;;;;;;;;
Comercio;12.00846652;15.71583099;15.16508493;8.921223429;12.99534964;0.399550391;-2.121059499;-1.766998048;2.173222804;-0.399862142;8.130247947;10.97958235;9.600195519;9.871182642;9.687805823;Commerce
;;;;;;;;;;;;;;;;
Otros servicios 2/;10.21552083;10.73497554;9.764066811;6.052654217;9.102269286;3.651456873;1.734834137;1.772631315;5.184230889;3.100723207;4.993849342;8.990400082;9.330904039;8.928602439;8.124025864;Other services 2/
;;;;;;;;;;;;;;;;
PBI;10.29209504;11.69831569;10.88581073;6.499821275;9.803274543;1.900872795;-1.198545815;-0.587600615;3.44393321;0.861695031;6.162266582;10.02214711;9.600909209;9.203051114;8.794749982;GDP
;;;;;;;;;;;;;;;;
PBI de los sectores primarios;6.186292386;7.920770029;8.042682853;7.351618264;7.412045365;3.504488542;1.139809425;1.041639978;-1.413622844;1.035711809;0.63497036;1.854260138;-0.187358105;0.999794666;0.886063098;Primary sectors gross domestic product
PBI de los sectores no primarios;11.12967905;12.60501511;11.43948893;6.34055528;10.29635158;1.588287161;-1.736459368;-0.895209993;4.360817328;0.826750753;7.260000261;11.95608018;11.48510449;10.665775;10.3861834;Non- primary sectors gross domestic product
