year,wr,sectores_economicos,economic_sectors,2018_year,2019_1,2019_2,2019_3,2019_4,2019_year,2020_1,2020_2,2020_3,2020_4,2020_year,2021_1,2021_2,2021_3,2021_4,2021_year
2022,08,agropecuario,agriculture and livestock,7.7,4.8,2.4,2.2,5.3,3.5,4.0,1.8,-1.9,0.2,1.0,-0.2,0.6,10.5,5.6,3.8
2022,08,pesca,fishing,47.7,-12.9,-27.3,29.5,-23.9,-17.2,-16.5,-14.5,14.9,38.6,4.2,37.3,21.2,-37.8,-7.4,2.8
2022,08,mineria e hidrocarburos,mining and fuel,-1.5,-0.5,-2.2,0.3,2.1,0.0,-5.7,-34.3,-10.2,-3.9,-13.4,0.0,39.0,4.4,-3.4,7.4
2022,08,manufactura,manufacturing,5.9,-0.7,-6.8,3.9,-2.4,-1.7,-9.3,-36.2,-6.9,2.0,-12.5,16.3,60.9,8.3,1.3,17.8
2022,08,electricidad y agua,electricity and water,4.4,5.9,3.8,3.7,2.4,3.9,-1.9,-19.4,-3.1,-0.2,-6.1,2.8,25.3,6.3,3.0,8.6
2022,08,construccion,construction,5.3,2.2,7.4,3.4,-4.8,1.4,-12.0,-66.1,-4.4,20.1,-13.5,41.9,231.0,24.0,-5.8,34.9
2022,08,comercio,commerce,2.6,2.4,2.7,3.3,3.6,3.0,-7.1,-46.8,-8.1,-2.6,-16.0,1.4,85.9,10.1,3.9,17.8
2022,08,otros servicios,other services,4.4,3.8,3.5,3.9,3.3,3.6,-1.5,-24.7,-10.7,-4.6,-10.3,0.5,31.2,13.5,6.7,11.8
2022,08,pbi global,gdp,4.0,2.4,1.1,3.3,1.8,2.2,-3.9,-29.9,-8.8,-1.3,-11.0,4.4,41.9,11.4,3.2,13.3
2022,08,sectores primarios,primary sectors,3.5,-1.2,-4.4,1.9,0.5,-0.9,-2.9,-20.2,-6.6,0.1,-7.8,2.5,20.8,3.3,-3.1,5.5
2022,08,sectores no primarios,nonprimary sectors,4.1,3.5,3.0,3.6,2.2,3.1,-4.2,-33.1,-9.4,-1.7,-11.9,5.0,49.9,13.8,5.0,15.6
