year,wr,sectores_economicos,economic_sectors,2017_1,2017_2,2017_3,2017_4,2017_year,2018_1,2018_2,2018_3,2018_4,2018_year,2019_1,2019_2,2019_3,2019_4,2019_year,2020_1
2020,20,agropecuario,agriculture and livestock,-0.1,0.6,6.9,4.5,2.8,7.0,11.3,6.7,4.9,7.8,4.9,1.9,1.3,5.3,3.2,2.9
2020,20,pesca,fishing,37.9,128.8,-42.8,-51.5,4.7,13.8,34.2,16.1,168.1,47.7,-25.9,-32.7,11.7,-30.7,-25.9,-15.3
2020,20,mineria e hidrocarburos,mining and fuel,4.3,2.0,4.5,2.9,3.4,0.2,-0.8,-3.0,-2.2,-1.5,-0.5,-2.3,0.3,2.1,0.0,-5.2
2020,20,manufactura,manufacturing,2.3,4.6,-1.7,-5.3,-0.2,0.5,10.7,1.9,10.3,5.9,-1.0,-6.9,4.0,-2.3,-1.7,-9.6
2020,20,electricidad y agua,electricity and water,1.1,1.6,1.7,0.2,1.1,2.3,5.0,3.9,6.3,4.4,5.9,3.8,3.6,2.4,3.9,-2.1
2020,20,construccion,construction,-5.5,-3.1,5.9,9.0,2.1,4.5,7.0,1.1,8.1,5.3,2.3,7.5,3.3,-4.6,1.5,-13.0
2020,20,comercio,commerce,0.1,0.9,1.4,1.7,1.0,2.7,3.2,2.2,2.5,2.6,2.4,2.7,3.3,3.6,3.0,-6.2
2020,20,otros servicios,other services,3.1,2.8,3.3,3.8,3.3,4.1,5.2,3.9,4.3,4.4,4.0,3.8,4.0,3.4,3.8,-0.5
2020,20,pbi global,gdp,2.3,2.6,2.7,2.3,2.5,3.1,5.6,2.5,4.6,4.0,2.4,1.2,3.2,1.8,2.2,-3.4
2020,20,sectores primarios,primary sectors,4.8,6.5,2.1,-1.2,3.0,2.0,6.7,-0.5,5.6,3.6,-1.6,-4.7,1.4,0.3,-1.3,-2.8
2020,20,sectores no primarios,nonprimary sectors,1.6,1.3,2.9,3.3,2.3,3.5,5.2,3.3,4.4,4.1,3.6,3.2,3.7,2.2,3.2,-3.6
