sectores_economicos;economic_sectors;2005_1;2005_2;2005_3;2005_4;2005_year;2006_1;2006_2;2006_3;2006_4;2006_year;2007_1
agropecuario;agriculture and livestock;2.2;5.8;5;6.1;4.8;4.7;5.8;11.2;7.6;7.2;4.5
agrícola;agriculture;0.9;6.6;4.5;1.8;4;2.4;4.6;14.9;12;7.7;5.1
pecuario;livestock;4.6;4.1;6;11.8;6.6;7.4;8.2;7.2;3.8;6.6;3.9
pesca;fishing;13.6;2;-6.4;-2.6;1.2;31.9;-12.3;18.2;-8.5;2.7;-1.2
minería e hidrocarburos;mining and fuel;1;4.8;10.9;15.7;8.1;6.1;7.6;-0.6;-7.6;1;-1.6
minería metálica;metals;-1.5;2.7;10.6;17.5;7.4;6.4;8.2;-1.9;-8.9;0.5;-2.7
hidrocarburos;fuels;33.9;37.7;23.6;4.4;23.4;0.4;2.7;10;9.1;5.7;10.6
manufactura;manufacturing;7.3;8;6.2;4.5;6.5;7.3;3;8.1;8.2;6.6;8.4
procesadores de recursos primarios;based on raw materials;2.4;3.2;0.9;2;2.1;9;-2.1;3.6;-0.6;2.1;-4.5
industria no primaria;non primary industries;8.6;9.5;7.7;5.3;7.7;6.9;4.3;9;10.4;7.7;11.1
construcción;construction;2.2;6.9;10.6;13.3;8.4;16.3;13.2;16;13.5;14.7;9
comercio;commerce;6.3;5.9;4.4;4.1;5.2;11.7;9;14;14.4;12.1;10.2
electricidad y agua;electricity and water;3.7;5.6;5.7;6.3;5.3;7.2;4.9;7.6;7.8;6.9;8.3
otros servicios;other services;6.2;4.9;5.8;8.3;6.3;7.2;7.1;8.9;9.6;8.2;8.4
pbi;gdp;5.9;5.9;6.3;7.7;6.5;8;6.5;9.2;8.5;8;7.5
sectores primarios;primary sectors;2;4.9;6.1;8.5;5.4;6.6;4.3;5.6;-0.4;4;0.6
sectores no primarios;non-primary sectors;6.3;6.1;6.2;7.3;6.5;8.7;7.4;10.4;10.9;9.3;9.4
