year,wr,sectores_economicos,economic_sectors,2016_jun,2016_jul,2016_ago,2016_sep,2016_oct,2016_nov,2016_dic,2016_year,2017_ene,2017_feb,2017_mar,2017_abr,2017_may,2017_jun,2017_ene_jun
2017,33,agropecuario,agriculture and livestock,0.1,-1.2,6.1,2.6,3.8,5.1,2.0,2.3,1.0,-1.0,-2.2,-0.9,-2.1,6.4,0.4
2017,33,agricola,agriculture,-2.3,-6.4,4.2,0.2,4.5,7.9,0.2,1.4,-3.1,-4.0,-5.9,-3.7,-3.0,10.2,-0.5
2017,33,pecuario,livestock,5.5,7.3,8.3,5.3,3.0,1.7,4.2,3.7,6.3,2.5,3.2,5.2,0.0,-1.8,1.8
2017,33,pesca,fishing,-0.4,103.2,65.6,20.9,3.4,23.3,40.5,-10.1,42.2,30.6,37.3,101.0,280.4,52.0,82.9
2017,33,mineria e hidrocarburos,mining and fuel,15.9,14.1,19.4,14.5,15.7,11.6,5.4,16.3,14.9,1.4,-2.7,0.0,-0.6,6.2,2.9
2017,33,mineria metalica,metals,22.4,16.0,20.0,16.9,21.6,15.5,8.3,21.1,13.9,1.5,-2.7,1.9,1.7,6.9,3.7
2017,33,hidrocarburos,fuel,-12.2,5.2,15.9,2.1,-10.8,-5.9,-9.5,-5.1,19.5,1.2,-2.8,-9.9,-13.0,2.5,-1.3
2017,33,manufactura,manufacturing,-1.1,0.9,3.0,2.7,-2.7,4.1,7.2,-1.4,6.2,-2.9,2.4,-2.2,11.1,2.0,2.7
2017,33,procesadores recursos primarios,based on raw materials,-0.5,26.9,17.2,15.2,-1.7,15.2,22.4,-0.6,20.8,7.6,5.0,22.2,55.3,17.5,21.0
2017,33,manufactura no primaria,nonprimary,-1.2,-6.8,-1.1,-0.5,-3.1,0.5,1.5,-1.7,1.3,-5.9,1.5,-9.1,-2.4,-3.3,-3.0
2017,33,electricidad y agua,electricity and water,5.6,6.5,6.8,6.6,5.6,5.7,4.6,7.3,5.7,-2.0,-0.7,-0.9,2.7,3.1,1.3
2017,33,construccion,construction,-3.8,-7.9,1.1,-3.8,-16.5,-8.7,-4.2,-3.1,-5.3,-6.9,-3.9,-8.0,-3.9,3.5,-4.1
2017,33,comercio,commerce,1.5,1.2,1.8,1.3,0.7,0.5,1.3,1.8,0.9,0.2,-0.8,-0.6,1.5,1.7,0.5
2017,33,otros servicios,other services,4.4,4.4,4.4,4.1,3.0,3.1,3.1,4.3,3.6,2.8,2.3,2.2,3.2,3.0,2.8
2017,33,derechos de importacion y otros impuestos,import duties and other taxes,0.6,0.5,4.3,4.8,1.8,3.3,3.9,2.5,6.0,1.4,4.0,-0.4,5.5,2.7,3.2
2017,33,pbi,gdp,3.7,3.7,5.8,4.4,2.3,3.5,3.3,4.0,4.9,0.7,0.9,0.2,3.5,3.6,2.3
2017,33,sectores primarios,primary sectors,8.6,12.8,16.4,11.9,10.6,10.9,7.9,9.9,13.1,2.0,-1.2,3.2,7.0,8.3,5.4
2017,33,sectores no primarios,non primary sectors,2.2,1.3,3.1,2.6,0.1,1.6,2.1,2.4,2.7,0.4,1.5,-0.6,2.3,2.1,1.4
2017,33,pbi desestacionalizado,seasonally adjusted gdp,3.5,1.1,2.1,3.4,3.6,2.0,1.3,,3.5,3.9,2.6,-1.3,0.1,3.1,
2017,33,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2017,33,demanda interna sin inventarios,domestic demand without inventories,0.6,-1.0,2.2,1.2,-2.9,-0.4,-2.7,1.0,0.3,-2.7,-1.3,-2.2,1.3,2.4,-0.3
2017,33,demanda interna sin inventarios desestacionalizada,seasonally adjusted domestic demand without inventories,-3.1,-5.8,-4.5,-1.3,0.6,0.4,-2.1,,-0.7,0.1,1.6,0.0,1.9,4.1,
2017,33,demanda interna,domestic demand,3.4,-2.3,4.7,2.1,-0.1,0.8,0.6,1.0,-0.4,-4.0,1.2,0.5,2.7,-0.9,-0.1
2017,33,demanda interna desestacionalizada,seasonally adjusted domestic demand,-1.1,1.9,8.3,4.9,4.4,-1.7,-1.7,,-5.5,-3.7,-6.4,0.3,3.4,6.4,
