year,wr,sectores_economicos,economic_sectors,2016_mar,2016_abr,2016_may,2016_jun,2016_jul,2016_ago,2016_sep,2016_oct,2016_nov,2016_dic,2016_year,2017_ene,2017_feb,2017_mar,2017_ene_mar
2017,20,agropecuario,agriculture and livestock,0.3,3.7,0.7,0.1,-1.1,5.9,1.5,2.4,3.5,1.5,2.0,1.4,-1.0,-2.5,-0.8
2017,20,agricola,agriculture,0.5,4.1,-0.9,-2.2,-6.2,3.9,-1.8,2.0,5.0,-0.7,0.6,-2.8,-3.9,-6.7,-4.6
2017,20,pecuario,livestock,0.0,2.8,4.9,5.6,7.3,8.3,5.3,3.0,1.7,4.2,4.0,6.7,2.5,3.5,4.2
2017,20,pesca,fishing,-19.0,-77.1,-67.0,-0.4,103.2,65.6,20.9,3.4,23.3,40.5,-10.1,42.2,30.6,37.3,37.9
2017,20,mineria e hidrocarburos,mining and fuel,16.2,22.7,33.0,15.9,14.1,19.4,14.5,15.7,11.6,5.4,16.3,14.7,1.4,-2.7,4.1
2017,20,mineria metalica,metals,23.3,27.6,36.4,22.4,16.0,20.0,16.9,21.6,15.5,8.3,21.1,13.9,1.5,-2.7,3.9
2017,20,hidrocarburos,fuel,-11.8,1.8,17.3,-12.2,5.2,15.9,2.1,-10.8,-5.9,-9.5,-5.1,19.5,1.2,-2.8,5.3
2017,20,manufactura,manufacturing,-4.8,-13.2,-9.1,-1.4,0.9,2.7,3.2,-3.0,3.8,7.0,-1.5,6.3,-3.0,1.8,1.7
2017,20,procesadores recursos primarios,based on raw materials,-6.0,-43.8,-28.6,-0.4,26.9,17.2,15.2,-1.7,15.2,22.5,-0.5,20.8,7.8,4.9,11.4
2017,20,manufactura no primaria,non primary,-4.6,2.4,-0.9,-1.4,-6.5,-1.3,0.0,-3.5,-1.0,1.3,-2.0,1.8,-5.6,0.9,-1.0
2017,20,electricidad y agua,electricity and water,8.4,9.1,6.9,5.6,6.5,6.8,6.6,5.6,5.7,4.6,7.3,5.7,-1.9,-0.7,1.0
2017,20,construccion,construction,3.4,1.4,5.6,-3.8,-7.9,1.1,-3.8,-16.5,-8.7,-4.2,-3.1,-5.3,-6.9,-3.8,-5.3
2017,20,comercio,commerce,2.4,3.1,2.3,1.5,1.2,1.8,1.3,0.7,0.5,1.3,1.8,1.0,0.2,-0.8,0.1
2017,20,otros servicios,other services,4.7,4.8,4.6,4.2,4.1,4.0,3.8,3.1,3.2,3.3,4.1,3.5,2.8,2.0,2.8
2017,20,derechos de importacion y otros impuestos,import duties and other taxes,-1.3,2.4,3.1,0.5,0.7,4.3,4.9,1.7,3.1,3.7,2.5,5.8,1.5,5.0,4.1
2017,20,pbi,gdp,3.7,2.7,4.9,3.6,3.6,5.6,4.3,2.2,3.4,3.3,3.9,4.9,0.7,0.7,2.1
2017,20,sectores primarios,primary sectors,8.7,0.1,10.3,8.7,12.9,16.4,11.7,10.3,10.5,7.8,9.8,13.1,2.0,-1.3,4.4
2017,20,sectores no primarios,non primary sectors,2.4,3.5,3.3,2.1,1.2,2.9,2.6,0.2,1.5,2.2,2.3,2.7,0.4,1.3,1.4
2017,20,pbi desestacionalizado,seasonally adjusted gdp,0.2,-0.1,0.8,-0.1,0.5,0.4,0.0,-0.5,0.4,0.5,,0.4,-0.9,-0.4,
2017,20,indicador de demanda interna,domestic demand indicator,-0.7,-2.9,0.4,3.3,-2.3,4.5,2.0,-0.1,0.7,0.6,0.9,-0.3,-3.8,1.2,-1.0
2017,20,indicador de demanda interna desestacionalizada,seasonally adjusted domestic demand indicator,-2.0,0.2,-0.4,2.8,-1.4,1.0,0.7,-1.0,-1.5,3.0,,-3.8,0.3,1.5,
