sectores_economicos;economic_sectors;2000_1;2000_2;2000_3;2000_4;2000_year;2001_1;2001_2;2001_3;2001_4;2001_year;2002_1;2002_2;2002_3
agropecuario;agriculture and livestock;4.6;7.4;6.8;5.5;6.2;-1.7;-2.8;1.4;1.5;-0.6;7.5;6.4;1.6
agrícola;agriculture;5.3;8.7;5.8;5.2;6.7;-4.4;-4.3;0.7;0.6;-2.4;8.9;6.9;-0.3
pecuario;livestock;3.9;4.6;9.1;6.4;6;1.6;0.7;2.3;2.4;1.7;5.9;5.3;3.8
pesca;fishing;27.5;16.1;21.9;-13.9;9.1;-6.6;2.3;-20.6;-34.7;-13.3;-20.5;8.9;7.8
minería e hidrocarburos;mining and fuel;4.1;1.8;2;1.7;2.4;-3.5;3.6;21.2;22.9;11.2;25.6;18.6;3.6
minería metálica;metals;5.9;2.8;2.7;2.4;3.4;-3.3;4.4;23.9;25.3;12.8;28.2;20.7;4
hidrocarburos;fuels;-10.1;-6.3;-4.6;-5.1;-6.5;-4.8;-3;-0.7;0.3;-2;5.2;0.5;-0.8
manufactura;manufacturing;13.1;9.5;7;-1.6;6.7;-3.2;0.6;-0.8;-0.9;-1.1;-0.8;4.3;5.6
procesadores de recursos primarios;based on raw materials;15.1;12.5;17.1;-6.3;8.6;-6.3;2.4;0.1;-7.9;-2.9;-3.6;-2.3;-1.7
industria no primaria;non primary industries;12.4;8.5;4.4;0;6.1;-2.3;0;-1;1.1;-0.6;0;6.4;7.6
construcción;construction;5.6;-2.1;-2.9;-15.8;-4.3;-15.7;-6;-8.3;6.9;-6;10.3;7.9;11.4
comercio;commerce;7.4;7.3;4.4;1.3;5.1;-0.2;-2.4;0.8;2;0;0.1;5.1;3.1
otros servicios;other services;2.6;4.3;1.7;-1;1.8;-1.3;-0.4;0.9;2.6;0.4;1;5.3;5.7
pbi;gdp;5.3;5.4;3.1;-1.2;3.1;-2.4;-0.9;1.2;3;0.2;2.8;6.1;5.2
sectores primarios;primary sectors;7;7.1;7.3;0.8;5.6;-3.4;-0.2;6.8;5.1;1.9;10;7.9;1.8
sectores no primarios;non-primary sectors;4.9;5;2.2;-1.6;2.6;-2.2;-1;0;2.6;-0.2;1.3;5.6;5.9
