sectores_economicos;economic_sectors;2001_1;2001_2;2001_3;2001_4;2001_year;2002_1;2002_2;2002_3;2002_4;2002_year;2003_1
agropecuario;agriculture and livestock;1;-1.9;2;2;0.5;6.2;7.2;3.1;6.2;5.8;1.9
agrícola;agriculture;-4.5;-4.2;1.3;0.4;-2.3;9.4;7.1;0.5;7.1;6.1;0.4
pecuario;livestock;8.5;3.6;3.1;3.5;4.6;2.5;7.2;6.4;5.3;5.3;3.7
pesca;fishing;-2.3;1.1;-18.9;-29.7;-10.5;-21.5;7.5;7.5;26.1;3.1;-19.2
minería e hidrocarburos;mining and fuel;-3.5;3.3;22.9;26.2;12.4;25.9;18.7;3.9;1.6;11.3;4.5
minería metálica;metals;-4;3.2;25;28.3;13.3;27.7;20.3;3.8;2;12;5.6
hidrocarburos;fuels;-4.8;-3;-0.7;0.3;-2;5.2;0.5;-0.8;-2.2;0.6;-6.2
manufactura;manufacturing;-2.6;1;-0.6;-1.1;-0.8;-0.8;4.3;5.6;7.3;4.2;4.6
procesadores de recursos primarios;based on raw materials;-5.6;2.5;1;-7.4;-2.4;-3.6;-2.3;-1.6;8.1;0.1;-6.1
industria no primaria;non primary industries;-1.8;0.5;-1;0.7;-0.4;0;6.4;7.6;7.1;5.3;7.3
construcción;construction;-15.7;-6.4;-8.5;5.9;-6.4;10.4;7.9;11.3;4;8.3;3.5
comercio;commerce;1.5;-1.2;3.7;3;1.6;0.3;6.5;3.5;4.4;3.8;6.1
servicios ;services;-2.7;-0.6;1.6;4.3;0.6;1.5;5.8;5.5;5;4.5;4.9
electricidad y agua;electricity and water;2.3;3.8;4.1;5.2;3.9;6.1;6.3;4;5;5.4;5
otros servicios;other services;-2.9;-0.8;1.5;4.2;0.5;1.3;5.8;5.5;5.1;4.5;4.9
vab;gross aggregated value;-2.5;-0.7;2.2;4.2;0.8;3.2;6.7;5.2;5.2;5.1;4.5
impuestos a los productos y derechos de importación;taxes on products and import duties;-2.7;-3.3;-2.5;2.8;-1.4;-1.6;6.3;12.4;12.3;7.5;11.9
pbi;gdp;-2.5;-0.9;1.8;4.1;0.6;2.7;6.7;5.8;5.9;5.3;5.2
sectores primarios;primary sectors;-1.8;0.2;7.8;6.7;3;9.4;8.4;2.6;5.2;6.4;0.9
sectores no primarios;non-primary sectors;-2.7;-0.9;0.8;3.6;0.2;1.6;6.2;5.8;5.2;4.8;5.5
