sectores_economicos;economic_sectors;2001_1;2001_2;2001_3;2001_4;2001_year;2002_1;2002_2;2002_3;2002_4;2002_year;2003_1;2003_2;2003_3
agropecuario;agriculture and livestock;0.8;-1.9;2.5;2.2;0.5;6.5;7;2.5;6;5.7;2.3;4.1;2.9
agrícola;agriculture;-4.5;-4.2;1.3;0.4;-2.3;9.4;7.1;0.5;7.1;6.1;0.9;4.3;2.5
pecuario;livestock;8.5;3.6;3.1;3.5;4.6;2.5;7.2;6.4;5.3;5.3;4;3.9;3.3
pesca;fishing;-0.3;1;-19.3;-29.4;-11.1;-18.8;8.6;8.3;30.6;5.7;-15;-16;-12.3
minería e hidrocarburos;mining and fuel;-4.9;1.8;21.6;25.7;11.2;26;19.2;4.4;2;11.6;4.5;10.8;7.5
minería metálica;metals;-4;3.4;25.3;29.2;13.6;28.3;20.8;4.3;1.8;12.3;5.6;12;9
hidrocarburos;fuels;-4.8;-3;-0.7;0.3;-2;5.2;0.5;-0.8;-2.2;0.6;-6.2;-1.2;-7.3
manufactura;manufacturing;-2;2.1;0.6;0.3;0.3;0.6;4.9;5.1;6.3;4.2;6;0.8;1.7
procesadores de recursos primarios;based on raw materials;-5.8;2;-0.1;-7.3;-2.8;-3.3;-0.4;0.1;7.7;1;-2.2;-2.6;-1.3
industria no primaria;non primary industries;-0.8;2.2;0.8;2.7;1.2;1.7;6.6;6.5;5.8;5.2;8;1.8;2.4
electricidad y agua;electricity and water;-0.6;0.8;1.3;3;1.1;5;6;4.2;5.3;5.1;4.8;4;4.8
construcción;construction;-16.9;-6.7;-8.2;6.3;-6.7;10.4;7.5;10.7;3.5;7.9;3.4;4.6;2
comercio;commerce;0.1;-1.1;3.5;2.6;1.1;1.7;7.3;4;5.2;4.6;7.7;2.8;3
otros servicios;other services;-5.8;-1.7;1.1;5.2;-0.3;2;5.2;4.7;3;3.8;5.8;3.9;3.2
vab;gross aggregated value;-4.1;-1;2.1;4.8;0.4;4;6.7;4.8;4.2;5;5.4;3.6;3.1
impuestos a los productos y derechos de importación;taxes on products and import duties;-1.5;-2.1;-2.6;1.7;-1.1;-4.1;2.6;8.2;8.6;3.9;11.9;4.3;7.3
pbi;gdp;-3.9;-1.1;1.7;4.5;0.3;3.2;6.3;5.1;4.7;4.9;6;3.6;3.5
sectores primarios;primary sectors;-2.4;-0.2;7.4;6.8;2.7;9.7;8.7;2.9;5.4;6.7;1.9;4.2;3.5
sectores no primarios;non-primary sectors;-4.6;-1.2;0.8;4.3;-0.2;2.5;6.2;5.3;4;4.5;6.4;3.4;3
