sectores_economicos;economic_sectors;2003_mar;2003_abr;2003_may;2003_jun;2003_jul;2003_ago;2003_set;2003_oct;2003_nov;2003_dic;2003_year;2004_ene;2004_feb;2004_mar;2004_ene_mar
agropecuario;agriculture and livestock;-0.1;4.8;0.2;6.8;3.8;2;0.6;1.7;-1.4;-1.1;2.2;4.3;1.1;-0.1;1.7
agricola;agriculture;2.3;4.8;-0.8;8.6;3;2.5;-0.3;1.5;-2.6;-4.1;1.8;3.8;0.4;1.8;0.6
pecuario;livestock;3.7;5.1;3.2;3.1;5.5;2;1.8;2.2;0;1.8;3;5;1.9;2.2;3
pesca;fishing;-25.5;10.8;-23.7;-31.2;-26.3;12;-1.4;27.2;0;-43.6;-13.4;12;-6.9;14;6.5
mineria e hidrocarburos;mining and fuel;1.4;8.2;14;10.3;11.9;1.2;10;4.8;5;2.6;6.7;11.4;17.4;8.6;12.4
mineria;metals;2;9.1;15.8;11.2;13.5;2.3;11.7;5.6;5.8;2.9;7.8;12.7;19.3;10.2;14
hidrocarburos;fuel;-4;-0.8;-3.1;0.2;-4;-10.3;-7.5;-3.7;-4.1;-1.5;-4.5;-3.4;-4.1;-8.7;-5.4
manufactura;manufacturing;6.7;-0.3;-0.3;3.9;1.4;2;2.6;1.3;0.1;-2;2.2;3.8;3.2;7.8;5
procesadores recursos primarios;based on raw materials;-4.3;9.6;-6.4;-10.3;-7.8;3.6;2.7;4.9;-2.4;-16;-2.8;5.9;-4.7;0.1;0.5
industria no primaria;non primary industries;9.6;-3.1;1.6;8.2;4;1.7;2.6;0.4;0.9;2.4;3.6;3.3;5;9.6;6
electricidad y agua;electricity and water;4;2.2;3.6;6.4;5.9;5;2.5;3.6;4.2;3;4.2;6.7;6.4;4.4;4.7
construcción;construction;13;5.9;4.4;10.5;2;4.4;3.5;7.2;-0.1;5.3;4.8;2;5;9.8;7.1
comercio;commerce;9.3;2.8;-1.3;7.5;3;3.9;2.8;3.4;-1.2;0.2;3.6;3;1.3;3.2;2.2
otros servicios;other services;5.8;4.2;2.9;4.7;4.3;2.5;2.8;6.5;0.9;7;4.5;4;4.2;7.3;4.8
valor agregado bruto;gross aggreagated value;5.7;3.6;1.8;5.7;3.8;2.7;3.2;4.7;0.6;3;3.8;0.3;4.2;6.2;4.8
impuestos a los productos y derechos de importación;taxes on products and import duties;16;1.1;0.6;11.7;1.5;8.2;7.6;4.4;2.7;5.2;6.3;3.6;8.7;-0.7;2.6
pbi;gdp;6.6;3.4;1.7;6.2;3.6;3.2;3.6;4.6;0.8;3.2;4.1;7.5;4.6;5.5;4.6
vab sectores primarios;primary sectors;-0.9;6.7;1.8;3.9;3.7;2.1;4.6;4;0.8;-4.2;2.5;7.5;5.9;3.2;5.5
vab sectores no primarios;non primary sectors;7.6;2.8;1.8;6.3;3.9;2.9;2.8;4.8;0.5;4.8;4.2;3.1;3.8;6.9;4.6
pbi desestacionalizado;seasonally adjusted gdp;0.2;1;-1.5;1.2;0;-0.1;0.5;0.3;-0.7;1.2;;1.3;1.2;1;
demanda interna;domestic demand;9.5;1;-0.2;7.7;3.4;3.7;4;4.4;-0.1;2.2;3.6;2.1;3.1;3.4;2.8
demanda interna desestacionalizada;seasonally adjusted domestic demand;1.8;0.2;-2.2;1.7;1;-1;0.2;0.6;-1.1;0.6;;1.2;-0.1;2;
