target_period,agriculture_2015_1,fishing_2015_1,mining_2015_1,manufacturing_2015_1,electricity_2015_1,construction_2015_1,commerce_2015_1,services_2015_1,gdp_2015_1
2013m11,4.4,261.4,8.2,15.2,4.3,4.5,6.7,6.7,8.0
2013m12,-0.1,79.1,7.4,12.6,5.9,3.5,7.1,6.4,7.0
2014m1,2.3,-17.6,5.5,1.0,4.9,3.8,4.7,6.8,4.4
2014m2,0.4,18.2,8.0,4.7,6.1,9.8,5.3,6.1,5.6
2014m3,0.8,22.3,1.6,7.9,6.1,3.1,5.6,6.7,5.5
2014m4,3.7,82.2,-4.8,2.1,4.8,-8.9,3.5,6.0,2.5
2014m5,0.2,-9.4,-2.0,-3.0,5.1,5.8,4.2,5.6,2.3
2014m6,-4.4,-30.7,-5.9,-8.3,4.9,2.4,5.5,5.7,0.3
2014m7,2.2,13.5,-1.3,-5.1,4.3,-6.0,4.2,5.2,1.3
2014m8,3.7,-22.0,-3.7,-2.6,4.4,-3.7,3.2,5.1,1.3
2014m9,1.6,-26.4,-3.1,-1.8,4.7,6.9,4.5,5.5,2.7
2014m10,1.6,-9.7,3.8,-3.1,4.7,-3.2,4.2,5.5,2.4
2014m11,5.3,-68.8,0.4,-13.0,4.4,3.7,3.8,5.2,0.3
