target_period,agriculture_2019_1,fishing_2019_1,manufacturing_2019_1,electricity_2019_1,construction_2019_1,commerce_2019_1,services_2019_1,gdp_2019_1
2017m11,0.5,-45.6,-5.6,0.3,5.5,1.7,3.7,2.0
2017m12,12.1,-66.9,-12.4,-0.6,6.7,1.9,3.8,1.4
2018m1,4.0,12.4,-0.1,-0.2,8.6,2.4,4.3,2.9
2018m2,5.2,5.1,-0.2,1.8,7.0,2.6,4.0,2.7
2018m3,9.8,-4.9,1.8,4.3,0.1,3.1,4.4,3.9
2018m4,11.8,81.2,21.1,6.1,10.2,4.9,5.2,7.9
2018m5,16.5,26.7,10.7,4.0,10.0,3.3,5.2,6.6
2018m6,4.5,-7.9,1.5,3.9,2.3,1.6,4.5,2.1
2018m7,4.1,-17.3,1.9,4.1,5.5,2.7,4.2,2.5
2018m8,8.0,26.0,1.6,2.9,-0.1,2.5,4.4,2.2
2018m9,4.4,19.7,1.2,3.4,-2.9,1.4,4.0,2.1
2018m10,7.2,22.7,7.1,5.1,8.7,2.6,4.3,4.2
2018m11,5.2,188.5,12.2,6.5,13.5,2.4,4.8,5.3
