year,wr,sectores_economicos,economic_sectors,2011_1,2011_2,2011_3,2011_4,2011_year,2012_1,2012_2,2012_3,2012_4,2012_year,2013_1,2013_2,2013_3,2013_4,2013_year
2014,15,agropecuario,agriculture and livestock,3.6,4.4,6.8,3.1,4.5,3.8,8.0,4.2,5.9,5.7,6.2,0.2,0.1,3.3,2.2
2014,15,agricola,agriculture,1.0,3.1,9.2,1.9,3.7,1.6,9.4,1.5,7.3,5.6,9.8,-0.9,-1.9,2.9,1.8
2014,15,pecuario,livestock,7.0,7.0,3.8,4.5,5.6,6.5,5.1,7.6,4.3,5.9,2.2,2.7,3.4,2.9,2.8
2014,15,pesca,fishing,21.4,19.0,59.8,42.8,31.8,-14.1,-12.6,-1.2,-23.5,-13.2,7.9,-1.8,6.2,46.9,12.6
2014,15,mineria e hidrocarburos,mining and fuel,-0.3,-2.3,0.9,0.9,-0.2,3.3,4.3,3.5,-2.0,2.2,-2.8,4.9,3.3,6.1,2.9
2014,15,mineria metalica,metals,-5.6,-7.5,-0.5,1.1,-3.2,3.2,5.0,3.3,-2.5,2.2,-5.1,4.0,3.6,6.2,2.2
2014,15,hidrocarburos,fuel,34.6,31.5,10.4,3.7,18.1,3.7,1.2,4.4,-0.1,2.3,8.1,9.3,1.8,5.9,6.2
2014,15,manufactura,manufacturing,12.2,6.0,3.8,1.2,5.6,-0.6,0.3,4.2,2.4,1.6,0.6,3.2,1.7,1.3,1.7
2014,15,de procesamiento de recursos primarios,based on raw materials,12.8,12.4,15.2,12.1,13.0,-2.4,-10.7,0.2,-6.6,-5.2,-0.9,4.5,2.6,12.5,4.7
2014,15,no primaria,nonprimary,12.1,4.8,2.1,-0.5,4.4,-0.3,2.6,4.9,4.0,2.8,0.8,3.0,1.6,-0.5,1.2
2014,15,electricidad y agua,electricity and water,7.3,7.4,7.7,7.3,7.4,6.3,5.0,5.2,5.0,5.4,4.8,6.1,6.0,5.5,5.6
2014,15,construccion,construction,5.7,-0.3,1.7,5.0,3.0,12.4,16.7,19.1,12.4,15.1,12.0,14.5,5.8,3.6,8.5
2014,15,comercio,commerce,10.3,8.8,8.6,7.6,8.8,7.9,6.4,6.2,6.4,6.7,5.0,6.4,5.1,6.8,5.8
2014,15,otros servicios,other services,8.9,8.7,7.9,7.0,8.1,7.5,7.2,6.9,6.9,7.1,5.4,6.1,5.6,5.8,5.8
2014,15,pbi,gdp,8.6,6.9,6.6,5.6,6.9,6.0,6.4,6.8,5.9,6.3,4.7,5.6,4.5,5.1,5.0
2014,15,pbi de los sectores primarios,primary sectors gross domestic product,4.2,4.2,6.9,4.7,4.9,2.0,3.2,3.1,0.0,2.2,1.9,2.1,1.7,6.8,3.1
2014,15,pbi de los sectores no primarios,non primary sectors gross domestic product,9.4,7.4,6.6,5.8,7.2,6.7,7.1,7.4,6.9,7.0,5.2,6.4,5.0,4.9,5.4
