year,wr,sectores_economicos,economic_sectors,2012_1,2012_2,2012_3,2012_4,2012_year,2013_1,2013_2,2013_3,2013_4,2013_year,2014_1,2014_2
2014,32,agropecuario,agriculture and livestock,3.7,8.5,3.5,6.8,5.9,5.6,-0.4,-0.5,2.3,1.5,0.8,-0.5
2014,32,agricola,agriculture,5.1,12.4,4.2,10.8,8.7,8.1,-1.5,-1.7,1.4,1.0,-0.6,-1.8
2014,32,pecuario,livestock,6.1,4.9,7.2,4.3,5.6,2.2,2.6,1.6,3.6,2.5,2.7,2.6
2014,32,pesca,fishing,-32.8,-27.3,-3.0,-52.4,-32.2,8.3,-11.9,-2.3,107.3,18.1,0.8,-7.0
2014,32,mineria e hidrocarburos,mining and fuel,3.0,4.6,4.0,-0.3,2.8,-1.3,7.0,6.1,7.4,4.9,5.0,-4.3
2014,32,mineria metalica,metals,3.3,5.8,3.5,-2.1,2.5,-4.7,5.5,6.8,9.1,4.2,5.6,-5.9
2014,32,hidrocarburos,fuel,-2.3,-2.5,3.5,5.3,1.0,11.4,13.0,3.8,1.5,7.2,3.0,1.4
2014,32,manufactura,manufacturing,2.1,-0.8,3.4,1.2,1.5,0.3,4.9,3.7,12.8,5.5,4.4,-3.4
2014,32,de procesamiento de recursos primarios,based on raw materials,-2.2,-14.9,-1.7,-14.7,-9.0,-5.1,2.2,3.0,36.0,8.7,9.8,-4.1
2014,32,no primaria,nonprimary,3.2,4.1,4.7,6.0,4.5,2.1,5.8,4.0,5.7,4.4,2.7,-2.7
2014,32,electricidad y agua,electricity and water,6.7,5.4,6.4,4.9,5.8,4.6,5.9,5.8,5.8,5.5,5.7,4.9
2014,32,construccion,construction,17.4,19.3,19.8,9.6,15.8,10.6,15.8,7.6,4.1,8.9,5.5,-0.4
2014,32,comercio,commerce,8.4,6.9,6.8,6.9,7.2,5.1,6.4,5.2,6.7,5.9,5.2,4.4
2014,32,otros servicios,other services,7.0,6.7,7.5,8.0,7.3,6.1,6.4,5.8,5.9,6.0,5.8,4.8
2014,32,pbi,gdp,6.0,5.7,6.8,5.4,6.0,4.3,6.2,5.2,7.2,5.8,5.1,1.7
2014,32,pbi de los sectores primarios,primary sectors gross domestic product,1.4,1.1,2.9,-3.0,0.6,-0.1,3.4,3.9,12.1,4.8,4.5,-3.2
2014,32,pbi de los sectores no primarios,non primary sectors gross domestic product,7.3,7.1,7.9,7.6,7.5,5.5,7.0,5.6,6.1,6.0,5.2,3.1
