target_period,agriculture_2015_10,fishing_2015_10,mining_2015_10,manufacturing_2015_10,electricity_2015_10,construction_2015_10,commerce_2015_10,services_2015_10,gdp_2015_10
2013q1,5.8,14.6,-1.3,1.3,4.6,10.6,5.1,5.8,4.4
2013q2,-0.2,-9.6,7.0,4.9,5.9,15.8,6.4,6.4,6.2
2013q3,-0.5,6.8,6.1,3.1,5.8,7.6,5.2,5.7,5.2
2013q4,2.2,120.8,7.4,10.4,5.8,4.1,6.7,6.5,7.2
2013,1.5,24.8,4.9,5.0,5.5,8.9,5.9,6.1,5.8
2014q1,1.1,-4.8,5.0,3.5,5.7,5.2,5.2,6.0,5.0
2014q2,0.5,-8.9,-4.2,-3.3,4.9,0.1,4.4,4.9,1.8
2014q3,2.5,-15.2,-2.9,-3.7,4.5,0.0,4.0,4.4,1.8
2014q4,3.0,-60.8,-0.4,-9.9,4.5,1.9,4.2,4.7,1.0
2014,1.6,-27.9,-0.8,-3.6,4.9,1.6,4.4,5.0,2.4
2015q1,0.5,-9.2,4.1,-5.0,4.6,-7.1,3.6,4.1,1.8
2015q2,2.9,36.6,7.0,-0.2,5.5,-8.7,3.8,4.0,3.0
