target_period,agriculture_2015_6,fishing_2015_6,mining_2015_6,manufacturing_2015_6,electricity_2015_6,construction_2015_6,commerce_2015_6,services_2015_6,gdp_2015_6
2013q1,5.8,14.7,-1.3,1.3,4.6,10.6,5.1,5.8,4.4
2013q2,-0.2,-10.1,7.0,4.9,5.9,15.8,6.4,6.4,6.2
2013q3,-0.5,6.0,6.1,3.1,5.8,7.6,5.2,5.8,5.2
2013q4,2.2,119.1,7.4,10.4,5.8,4.1,6.7,6.5,7.2
2013,1.6,24.0,4.9,5.0,5.5,8.9,5.9,6.1,5.8
2014q1,1.3,-4.8,5.0,4.1,5.7,5.2,5.2,5.8,5.0
2014q2,-0.2,-8.9,-4.2,-3.0,4.9,0.1,4.4,4.9,1.8
2014q3,2.6,-15.2,-2.9,-3.4,4.5,0.0,4.0,4.3,1.8
2014q4,2.5,-60.8,-0.4,-10.0,4.5,1.9,4.2,4.7,1.0
2014,1.4,-27.9,-0.8,-3.3,4.9,1.7,4.4,4.9,2.4
2015q1,0.4,-9.2,4.1,-5.2,4.6,-6.8,3.6,4.1,1.7
