target_period,agriculture_2021_2,fishing_2021_2,mining_2021_2,manufacturing_2021_2,electricity_2021_2,construction_2021_2,commerce_2021_2,services_2021_2,gdp_2021_2
2017,2.8,4.7,3.4,-0.2,1.1,2.1,1.0,2.6,2.1
2018q1,7.1,13.8,0.2,0.5,2.3,4.5,2.7,4.1,3.1
2018q2,11.1,34.2,-0.8,10.7,5.0,7.0,3.2,5.2,5.5
2018q3,6.3,16.1,-3.0,1.8,3.9,1.1,2.2,3.9,2.5
2018q4,5.0,168.1,-2.2,10.2,6.3,8.1,2.5,4.3,4.6
2018,7.7,47.7,-1.5,5.9,4.4,5.3,2.6,4.4,4.0
2019q1,4.8,-12.9,-0.5,-1.0,5.9,2.2,2.4,4.0,2.5
2019q2,2.4,-27.3,-2.2,-6.9,3.8,7.4,2.7,3.7,1.3
2019q3,2.2,29.5,0.3,4.0,3.7,3.4,3.3,4.0,3.3
2019q4,5.3,-23.9,2.1,-2.3,2.4,-4.8,3.6,3.4,1.8
2019,3.5,-17.2,0.0,-1.7,3.9,1.4,3.0,3.8,2.2
2020q1,3.7,-18.1,-5.4,-10.5,-1.9,-12.5,-7.1,-0.8,-3.7
2020q2,2.3,-15.4,-34.1,-36.4,-19.4,-66.1,-46.8,-24.9,-30.0
2020q3,-1.5,11.8,-9.8,-8.0,-3.1,-4.4,-8.1,-10.8,-9.0
2020q4,0.4,35.0,-3.8,1.0,-0.2,19.0,-2.6,-5.0,-1.7
2020,1.3,2.1,-13.2,-13.4,-6.1,-13.9,-16.0,-10.3,-11.1
