target_period,agriculture_2021_9,fishing_2021_9,mining_2021_9,manufacturing_2021_9,electricity_2021_9,construction_2021_9,commerce_2021_9,services_2021_9,gdp_2021_9
2019q1,4.8,-12.9,-0.5,-0.7,5.9,2.2,2.4,3.8,2.4
2019q2,2.4,-27.3,-2.2,-6.8,3.8,7.4,2.7,3.5,1.1
2019q3,2.2,29.5,0.3,3.9,3.7,3.4,3.3,3.9,3.3
2019q4,5.3,-23.9,2.1,-2.4,2.4,-4.8,3.6,3.3,1.8
2019,3.5,-17.2,0.0,-1.7,3.9,1.4,3.0,3.6,2.2
2020q1,4.0,-16.5,-5.7,-9.3,-1.9,-12.0,-7.1,-1.5,-3.9
2020q2,2.3,-14.5,-34.3,-36.2,-19.4,-66.1,-46.8,-24.7,-29.9
2020q3,-1.7,14.9,-10.2,-6.9,-3.1,-4.5,-8.1,-10.6,-8.8
2020q4,0.8,38.6,-3.9,2.0,-0.2,19.0,-2.6,-4.6,-1.4
2020,1.4,4.2,-13.4,-12.5,-6.1,-13.9,-16.0,-10.3,-11.0
2021q1,-0.1,37.3,-0.1,16.7,2.7,41.6,1.4,0.5,4.5
2021q2,-0.2,21.2,38.9,60.9,25.3,230.9,85.9,31.4,41.9
