target_period,agriculture_2021_5,fishing_2021_5,mining_2021_5,manufacturing_2021_5,electricity_2021_5,construction_2021_5,commerce_2021_5,services_2021_5,gdp_2021_5
2018q1,7.1,13.8,0.2,0.5,2.3,4.5,2.7,4.1,3.1
2018q2,11.1,34.2,-0.8,10.7,5.0,7.0,3.2,5.3,5.6
2018q3,6.3,16.1,-3.0,1.8,3.9,1.1,2.2,3.9,2.5
2018q4,5.0,168.1,-2.2,10.2,6.3,8.1,2.5,4.4,4.7
2018,7.7,47.7,-1.5,5.9,4.4,5.3,2.6,4.4,4.0
2019q1,4.8,-12.9,-0.5,-0.7,5.9,2.2,2.4,3.8,2.4
2019q2,2.4,-27.3,-2.2,-6.8,3.8,7.4,2.7,3.5,1.1
2019q3,2.2,29.5,0.3,3.9,3.7,3.4,3.3,3.9,3.3
2019q4,5.3,-23.9,2.1,-2.4,2.4,-4.8,3.6,3.3,1.8
2019,3.5,-17.2,0.0,-1.7,3.9,1.4,3.0,3.6,2.2
2020q1,3.7,-18.1,-5.7,-9.4,-1.9,-12.5,-7.1,-0.7,-3.6
2020q2,2.3,-15.4,-34.3,-36.3,-19.4,-66.1,-46.8,-24.9,-30.0
2020q3,-1.5,11.8,-10.1,-7.6,-3.1,-4.4,-8.1,-10.8,-9.0
2020q4,0.4,35.0,-3.9,1.2,-0.2,19.0,-2.6,-4.9,-1.7
2020,1.3,2.1,-13.4,-13.0,-6.1,-13.9,-16.0,-10.3,-11.1
2021q1,0.2,38.6,-0.1,15.6,2.8,40.6,-0.5,-0.1,3.8
