sectores_economicos;economic_sectors;2004_1;2004_2;2004_3;2004_4;2004_year;2005_1;2005_2;2005_3;2005_4;2005_year;2006_1
agropecuario;agriculture and livestock;4.6;-1.6;1.2;4.8;1.7;2.2;5.8;5;6.1;4.8;2
agrícola;agriculture;1.2;-8.1;-3.2;2.3;-3.2;0.9;6.6;4.5;1.8;4;0
pecuario;livestock;2.5;1;2;2.7;2;4.6;4.1;6;11.8;6.6;4.3
pesca;fishing;14;36.3;46.6;38.1;33.9;15.5;2.1;-5.6;-2.3;1.2;19.5
minería e hidrocarburos;mining and fuel;12.3;2.8;1.5;4.8;5.2;1;4.8;10.9;15.7;8.1;5
minería metálica;metals;13.2;2.9;0.8;4.4;5.2;-1.5;2.7;10.6;17.5;7.4;5.2
hidrocarburos;fuels;-5.4;-4.3;12.7;25.5;7.1;33.9;37.7;23.6;4.4;23.4;0.4
manufactura;manufacturing;5.4;6.2;6.9;10.9;7.4;7.3;8;6.2;4.5;6.5;6.3
procesadores de recursos primarios;based on raw materials;4.2;9.9;6.2;8.2;7.3;2.4;3.2;0.9;2;2.1;6.6
industria no primaria;non primary industries;5.7;5.1;7.1;11.7;7.4;8.6;9.5;7.7;5.3;7.7;6.2
electricidad y agua;electricity and water;4.7;4.4;4.1;5;4.6;3.7;5.6;5.7;6.3;5.3;6.7
construcción;construction;7.3;4.1;3.4;4.1;4.7;2.2;7.4;10.6;13.3;8.4;16.3
comercio;commerce;2.9;4;5.4;11.5;5.8;6.3;5.9;4.4;4.1;5.2;9.1
otros servicios;other services;3.3;3.2;4.8;6.4;4.5;6.2;5;5.8;8.3;6.3;6.5
vab;gross aggregated value;4.7;3.5;4.7;7.7;5.1;5.4;5.8;6.4;7.5;6.2;7
impuestos a los productos y derechos de importación;taxes on products and import duties;4.1;12.7;5.6;3.6;6.4;10.1;7.2;7.3;9.4;8.5;5.2
pbi;gdp;4.6;4.2;4.8;7.2;5.2;5.9;5.9;6.3;7.7;6.4;6.8
sectores primarios;primary sectors;7.4;2.5;2.9;6.4;4.6;2;4.9;6.1;8.5;5.4;4.3
sectores no primarios;non-primary sectors;3.9;3.7;5.2;8;5.2;6.3;6.1;6.2;7.3;6.5;7.7
