sectores_economicos;economic_sectors;2004_1;2004_2;2004_3;2004_4;2004_year;2005_1;2005_2;2005_3;2005_4;2005_year;2006_1
agropecuario;agriculture and livestock;4.7;-2.9;-0.8;5.6;1.7;2.2;5.4;4.9;6.5;4.8;1.7
agrícola;agriculture;1.2;-8.1;-3.2;2.3;-3.2;0.9;6.6;4.5;1.8;4;0
pecuario;livestock;2.5;1;2;2.7;2;4.6;4.1;6;11.8;6.6;4.3
pesca;fishing;22;35.8;50;30.3;33.9;12.3;1.9;-5.9;-2.6;1.2;19.1
minería e hidrocarburos;mining and fuel;12.8;2.7;1.3;4.9;5.3;-0.9;3.5;9.7;14.2;6.7;5.1
minería metálica;metals;14.3;3.3;0.7;3.7;5.3;-1.6;2.7;10.6;17.4;7.4;5.4
hidrocarburos;fuels;-5.4;-4.3;12.7;25.5;7.1;34.1;37.9;23.7;4.4;23.5;0.4
manufactura;manufacturing;4.8;5.9;7.4;11.3;7.4;7.6;7.7;6.5;4.3;6.5;6.5
procesadores de recursos primarios;based on raw materials;2.8;9.3;4.8;7.1;6.2;4.8;4.8;3.4;3.1;4;6.6
industria no primaria;non primary industries;5.8;5;6.7;9.6;6.8;7.8;9.6;7.5;5.7;7.6;6.2
electricidad y agua;electricity and water;4.9;4.4;4.1;4.8;4.6;3.8;5.6;5.7;6.1;5.3;6.7
construcción;construction;7;4;3.5;4.4;4.7;2.5;7.1;10.6;13;8.4;16.2
comercio;commerce;4.2;2.9;6.2;10.1;5.8;6.3;5.8;4.9;3.9;5.2;8.8
otros servicios;other services;4.2;2.4;4.9;6.2;4.4;7.3;5.3;5.5;7.5;6.4;6.5
vab;gross aggregated value;5.2;2.8;5.1;7.5;5.1;5.8;5.7;6.1;7;6.2;6.9
impuestos a los productos y derechos de importación;taxes on products and import duties;3;12;6.3;4.6;6.4;9.3;7;7.5;10.1;8.5;5.2
pbi;gdp;5;3.6;5.2;7.2;5.2;6.1;5.9;6.2;7.3;6.4;6.8
sectores primarios;primary sectors;8.6;0.4;2.6;6;4.1;1.1;4.6;6.7;9.7;5.5;3.8
sectores no primarios;non-primary sectors;4.5;3.4;5.5;7.8;5.3;6.8;6;5.9;6.5;6.3;7.6
