target_period,agriculture_2016_10,fishing_2016_10,mining_2016_10,manufacturing_2016_10,electricity_2016_10,construction_2016_10,commerce_2016_10,services_2016_10,gdp_2016_10
2014q1,1.1,-4.8,4.8,3.5,5.7,5.1,5.2,5.9,5.0
2014q2,0.9,-8.9,-4.3,-3.3,4.9,0.1,4.4,5.0,1.9
2014q3,2.8,-15.2,-3.0,-3.7,4.5,0.1,4.0,4.5,1.8
2014q4,3.0,-60.8,-0.4,-9.9,4.5,2.7,4.2,4.8,1.2
2014,1.9,-27.9,-0.9,-3.6,4.9,1.9,4.4,5.0,2.4
2015q1,1.5,-9.2,4.4,-5.3,4.6,-6.8,3.6,4.1,1.8
2015q2,4.0,36.6,7.6,-0.1,5.3,-8.6,3.8,4.0,3.2
2015q3,4.6,-21.6,10.3,-2.4,6.3,-6.8,4.1,4.3,3.3
2015q4,2.7,43.8,15.1,0.9,8.1,-2.1,3.9,4.3,4.7
2015,3.3,15.9,9.5,-1.7,6.1,-5.8,3.9,4.2,3.3
2016q1,1.5,1.8,15.8,-2.7,10.3,2.1,2.8,4.5,4.5
2016q2,0.6,-59.6,23.6,-7.9,7.5,0.9,2.3,4.1,3.7
