target_period,agriculture_2016_6,fishing_2016_6,mining_2016_6,manufacturing_2016_6,electricity_2016_6,construction_2016_6,commerce_2016_6,services_2016_6,gdp_2016_6
2014q1,1.1,-4.8,4.8,3.5,5.7,5.1,5.2,5.8,5.0
2014q2,0.9,-8.9,-4.3,-3.3,4.9,0.1,4.4,5.0,1.9
2014q3,2.8,-15.2,-3.0,-3.7,4.5,0.1,4.0,4.4,1.8
2014q4,3.0,-60.8,-0.4,-10.0,4.5,2.7,4.2,4.8,1.2
2014,1.9,-27.9,-0.9,-3.6,4.9,1.9,4.4,5.0,2.4
2015q1,1.0,-9.2,4.3,-5.1,4.6,-6.8,3.6,4.1,1.8
2015q2,3.4,36.6,7.4,-0.1,5.5,-8.6,3.8,4.0,3.1
2015q3,4.2,-21.6,10.1,-2.4,6.3,-6.8,4.1,4.3,3.2
2015q4,2.5,43.8,14.7,0.9,8.2,-2.3,3.9,4.5,4.7
2015,2.8,15.9,9.3,-1.7,6.2,-5.9,3.9,4.2,3.3
2016q1,1.6,1.8,15.7,-3.0,10.6,2.1,2.8,4.4,4.4
