target_period,agriculture_2016_2,fishing_2016_2,mining_2016_2,manufacturing_2016_2,electricity_2016_2,construction_2016_2,commerce_2016_2,services_2016_2,gdp_2016_2
2013q1,5.8,14.6,-1.3,1.3,4.6,10.6,5.1,6.6,4.8
2013q2,-0.2,-9.6,7.0,4.9,5.9,15.8,6.4,6.6,6.3
2013q3,-0.5,6.8,6.1,3.1,5.8,7.6,5.2,6.1,5.3
2013q4,2.2,120.8,7.4,10.4,5.8,4.1,6.7,5.9,6.9
2013,1.5,24.8,4.9,5.0,5.5,8.9,5.9,6.3,5.9
2014q1,1.1,-4.8,4.8,3.5,5.7,5.1,5.2,5.8,5.0
2014q2,0.9,-8.9,-4.3,-3.3,4.9,0.1,4.4,5.0,1.9
2014q3,2.8,-15.2,-3.0,-3.7,4.5,0.1,4.0,4.4,1.8
2014q4,3.0,-60.8,-0.4,-10.0,4.5,2.7,4.2,4.8,1.2
2014,1.9,-27.9,-0.9,-3.6,4.9,1.9,4.4,5.0,2.4
2015q1,1.0,-9.2,4.3,-5.1,4.6,-6.8,3.6,4.1,1.8
2015q2,3.4,36.6,7.4,-0.1,5.5,-8.6,3.8,4.0,3.1
2015q3,4.2,-21.6,10.1,-2.4,6.3,-6.8,4.1,4.3,3.2
2015q4,2.5,43.8,14.7,0.9,8.2,-2.3,3.9,4.5,4.7
2015,2.8,15.9,9.3,-1.7,6.2,-5.9,3.9,4.2,3.3
