target_period,agriculture_2014_4,fishing_2014_4,mining_2014_4,manufacturing_2014_4,electricity_2014_4,construction_2014_4,commerce_2014_4,services_2014_4,gdp_2014_4
2011q1,3.6,21.4,-0.3,12.2,7.3,5.7,10.3,8.9,8.6
2011q2,4.4,19.0,-2.3,6.0,7.4,-0.3,8.8,8.7,6.9
2011q3,6.8,59.8,0.9,3.8,7.7,1.7,8.6,7.9,6.6
2011q4,3.1,42.8,0.9,1.2,7.3,5.0,7.6,7.0,5.6
2011,4.5,31.8,-0.2,5.6,7.4,3.0,8.8,8.1,6.9
2012q1,3.8,-14.1,3.3,-0.6,6.3,12.4,7.9,7.5,6.0
2012q2,8.0,-12.6,4.3,0.3,5.0,16.7,6.4,7.2,6.4
2012q3,4.2,-1.2,3.5,4.2,5.2,19.1,6.2,6.9,6.8
2012q4,5.9,-23.5,-2.0,2.4,5.0,12.4,6.4,6.9,5.9
2012,5.7,-13.2,2.2,1.6,5.4,15.1,6.7,7.1,6.3
2013q1,6.2,7.9,-2.8,0.6,4.8,12.0,5.0,5.4,4.7
2013q2,0.2,-1.8,4.9,3.2,6.1,14.5,6.4,6.1,5.6
2013q3,0.1,6.2,3.3,1.7,6.0,5.8,5.1,5.6,4.5
2013q4,3.3,46.9,6.1,1.3,5.5,3.6,6.8,5.8,5.1
2013,2.2,12.6,2.9,1.7,5.6,8.5,5.8,5.8,5.0
