target_period,agriculture_2014_9,fishing_2014_9,mining_2014_9,manufacturing_2014_9,electricity_2014_9,construction_2014_9,commerce_2014_9,services_2014_9,gdp_2014_9
2012q1,3.7,-32.8,3.0,2.1,6.7,17.4,8.4,7.0,6.0
2012q2,8.5,-27.3,4.6,-0.8,5.4,19.3,6.9,6.7,5.7
2012q3,3.5,-3.0,4.0,3.4,6.4,19.8,6.8,7.5,6.8
2012q4,6.8,-52.4,-0.3,1.2,4.9,9.6,6.9,8.0,5.4
2012,5.9,-32.2,2.8,1.5,5.8,15.8,7.2,7.3,6.0
2013q1,5.6,8.3,-1.3,0.3,4.6,10.6,5.1,6.1,4.3
2013q2,-0.4,-11.9,7.0,4.9,5.9,15.8,6.4,6.4,6.2
2013q3,-0.5,-2.3,6.1,3.7,5.8,7.6,5.2,5.8,5.2
2013q4,2.3,107.3,7.4,12.8,5.8,4.1,6.7,5.9,7.2
2013,1.5,18.1,4.9,5.5,5.5,8.9,5.9,6.0,5.8
2014q1,0.8,0.8,5.0,4.4,5.7,5.5,5.2,5.8,5.1
2014q2,-0.5,-7.0,-4.3,-3.4,4.9,-0.4,4.4,4.8,1.7
