target_period,agriculture_2019_11,fishing_2019_11,mining_2019_11,manufacturing_2019_11,electricity_2019_11,construction_2019_11,commerce_2019_11,services_2019_11,gdp_2019_11
2016q3,2.5,68.3,16.0,2.1,6.6,-3.9,1.4,4.4,4.8
2016q4,4.3,27.6,10.8,3.0,5.3,-9.6,0.9,3.1,3.1
2016,2.7,-10.1,16.3,-1.4,7.3,-3.2,1.8,4.1,4.1
2017q1,-0.1,37.9,4.3,2.3,1.1,-5.5,0.1,3.1,2.3
2017q2,0.6,128.8,2.0,4.6,1.6,-3.1,0.9,2.8,2.6
2017q3,6.9,-42.8,4.5,-1.7,1.7,5.9,1.4,3.3,2.7
2017q4,4.5,-51.5,2.9,-5.3,0.2,9.0,1.7,3.8,2.3
2017,2.8,4.7,3.4,-0.2,1.1,2.1,1.0,3.3,2.5
2018q1,7.3,6.1,0.2,0.5,2.3,4.5,2.7,4.3,3.2
2018q2,11.1,29.2,-0.8,10.7,5.0,7.0,3.2,5.3,5.6
2018q3,6.8,4.9,-3.0,1.8,3.9,1.1,2.2,4.0,2.5
2018q4,5.6,154.6,-2.2,10.2,6.3,8.1,2.5,4.5,4.7
2018,8.0,39.7,-1.5,5.9,4.4,5.3,2.6,4.5,4.0
2019q1,5.3,-20.5,-0.5,-0.9,5.9,2.2,2.4,3.8,2.4
2019q2,2.6,-30.1,-2.3,-6.7,3.8,7.4,2.7,3.6,1.2
2019q3,0.6,23.6,0.3,3.1,3.6,2.9,3.3,3.7,3.0
