target_period,agriculture_2019_10,fishing_2019_10,mining_2019_10,manufacturing_2019_10,electricity_2019_10,construction_2019_10,commerce_2019_10,services_2019_10,gdp_2019_10
2017q1,-0.1,37.9,4.3,2.3,1.1,-5.5,0.1,3.1,2.3
2017q2,0.6,128.8,2.0,4.5,1.6,-3.1,0.9,2.9,2.6
2017q3,6.9,-42.8,4.5,-1.7,1.7,5.9,1.4,3.3,2.7
2017q4,4.5,-51.5,2.9,-5.3,0.2,9.0,1.7,3.8,2.3
2017,2.8,4.7,3.4,-0.2,1.1,2.1,1.0,3.3,2.5
2018q1,7.3,6.1,0.2,0.5,2.3,4.5,2.7,4.3,3.2
2018q2,10.8,29.2,-0.8,10.9,5.0,7.0,3.2,5.3,5.5
2018q3,6.6,4.9,-3.0,1.7,3.9,1.1,2.2,4.0,2.5
2018q4,5.6,154.6,-2.2,11.4,6.4,8.1,2.5,4.2,4.7
2018,7.8,39.7,-1.5,6.2,4.4,5.3,2.6,4.4,4.0
2019q1,5.2,-20.5,-0.5,-0.9,5.9,2.2,2.4,3.7,2.4
2019q2,2.1,-30.1,-2.3,-6.8,4.0,7.5,2.7,3.5,1.2
