year,wr,sectores_economicos,economic_sectors,2017_dic,2017_year,2018_ene,2018_feb,2018_mar,2018_abr,2018_may,2018_jun,2018_jul,2018_ago,2018_sep,2018_oct,2018_nov,2018_dic,2018_year
2019,07,agropecuario,agriculture and livestock,12.1,2.6,5.2,6.2,10.0,11.5,16.3,4.1,4.4,8.7,5.5,7.8,6.1,2.6,7.5
2019,07,agricola,agriculture,20.4,2.5,8.2,9.6,13.2,14.1,19.1,2.7,4.9,11.5,6.2,9.4,6.8,-0.1,9.0
2019,07,pecuario,livestock,1.9,2.8,1.5,2.2,5.9,6.5,9.9,7.5,3.6,5.5,4.7,6.0,5.1,6.3,5.4
2019,07,pesca,fishing,-66.9,4.7,12.4,5.1,-4.9,81.2,26.7,-7.9,-17.3,26.0,19.7,22.7,188.5,225.9,39.7
2019,07,mineria e hidrocarburos,mining and hydrocarbons,6.0,3.4,-1.6,-2.4,5.1,1.0,2.1,-4.6,-5.2,-3.9,0.8,-2.4,-2.5,-1.2,-1.3
2019,07,mineria metalica,metals,7.1,4.5,-2.0,1.5,5.4,-0.5,0.0,-5.6,-5.7,0.2,-1.3,-3.1,-3.7,-1.7,-1.5
2019,07,hidrocarburos,hydrocarbons,-0.3,-2.4,1.1,-24.6,4.1,10.9,12.5,2.6,-2.2,-26.3,15.5,2.2,4.8,1.4,0.0
2019,07,manufactura,manufacturing,-12.4,-0.2,-0.1,-0.2,1.8,21.0,10.6,1.6,2.0,2.0,1.1,9.8,12.0,12.4,6.2
2019,07,procesadores recursos primarios,based on raw materials,-32.1,1.9,2.1,-5.1,3.6,42.8,23.4,-0.4,-6.7,-1.1,3.1,8.9,40.9,46.8,13.2
2019,07,manufactura no primaria,nonprimary,-3.3,-0.9,-1.0,1.4,1.3,12.8,4.8,2.4,5.0,3.0,0.5,10.0,3.4,1.7,3.7
2019,07,electricidad y agua,electricity and water,-0.6,1.1,0.2,2.1,4.7,6.5,4.4,4.2,4.6,3.3,3.8,5.1,6.5,7.4,4.4
2019,07,construccion,construction,6.7,2.1,8.6,6.7,0.1,10.1,10.0,2.4,5.3,0.3,-1.9,8.9,11.8,4.6,5.4
2019,07,comercio,commerce,1.9,1.0,2.4,2.6,3.1,4.9,3.3,1.6,2.7,2.5,1.4,2.6,2.4,2.5,2.6
2019,07,otros servicios,other services,3.9,3.2,4.3,4.0,4.4,5.3,5.1,4.4,4.4,4.5,4.1,4.3,4.8,4.4,4.5
2019,07,derechos de importacion y otros impuestos,import duties and other taxes,-1.2,3.8,4.8,4.4,2.6,8.2,8.0,1.4,4.4,0.4,-0.4,6.7,2.4,3.4,3.8
2019,07,pbi,gdp,1.4,2.5,2.9,2.7,3.9,7.8,6.6,2.0,2.6,2.4,2.3,4.6,5.2,4.7,4.0
2019,07,sectores primarios,primary sectors,-1.1,3.1,0.7,-0.7,5.9,10.8,9.7,-1.7,-3.0,-0.7,2.2,1.4,6.6,7.3,3.3
2019,07,sectores no primarios,non primary sectors,2.1,2.3,3.6,3.6,3.4,6.9,5.6,3.3,4.2,3.2,2.3,5.5,4.8,4.1,4.2
2019,07,pbi desestacionalizado,seasonally adjusted gdp,1.5,,1.2,2.1,3.9,9.2,14.5,13.2,1.4,-8.8,-8.3,-0.3,9.2,12.0,
2019,07,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2019,07,demanda interna sin inventarios,domestic demand without inventories,2.1,1.6,3.9,4.4,3.4,7.4,4.9,4.4,3.6,2.4,1.0,4.5,5.2,2.7,3.9
2019,07,demanda interna,domestic demand,2.6,1.4,4.0,7.2,2.0,8.7,7.3,1.9,1.5,3.4,4.1,4.6,2.2,4.5,4.3
