year,wr,sectores_economicos,economic_sectors,2018_oct,2018_nov,2018_dic,2018_year,2019_ene,2019_feb,2019_mar,2019_abr,2019_may,2019_jun,2019_jul,2019_ago,2019_sep,2019_oct,2019_ene_oct
2019,39,agropecuario,agriculture and livestock,8.2,5.8,3.1,8.0,4.8,5.5,5.6,4.7,2.7,0.5,-1.3,2.6,0.9,4.2,2.9
2019,39,agricola,agriculture,10.2,6.4,1.0,9.7,4.7,5.9,6.4,4.9,2.4,-1.2,-4.1,1.7,-1.3,4.9,2.1
2019,39,pecuario,livestock,6.0,7.2,8.2,5.8,4.9,5.0,4.4,4.4,3.6,4.4,3.6,3.6,3.4,3.4,4.1
2019,39,pesca,fishing,22.7,188.5,225.9,39.7,-31.3,-9.5,-7.4,-63.0,-26.8,14.2,52.3,2.3,14.3,-0.7,-18.5
2019,39,mineria e hidrocarburos,mining and fuel,-2.6,-2.8,-1.4,-1.5,-1.3,-0.5,0.3,-2.6,-1.4,-3.0,0.3,4.1,-3.4,0.7,-0.7
2019,39,mineria metalica,metals,-3.4,-4.1,-1.8,-1.7,-1.4,-5.8,0.5,-1.4,0.0,-2.6,-0.6,-0.3,-4.9,0.1,-1.6
2019,39,hidrocarburos,fuel,2.2,4.8,1.4,0.0,-0.7,40.0,-0.4,-9.0,-8.8,-5.2,5.2,38.2,5.3,3.9,4.9
2019,39,manufactura,manufacturing,6.3,12.2,12.3,5.9,-5.3,-1.4,4.0,-13.2,-6.9,0.5,6.4,1.7,1.4,-1.1,-1.6
2019,39,procesadores recursos primarios,based on raw materials,8.5,39.7,44.2,12.9,-27.2,-9.5,3.8,-32.1,-18.3,2.8,10.4,6.0,1.5,7.0,-7.8
2019,39,manufactura no primaria,nonprimary,5.6,3.6,1.6,3.3,4.2,1.3,4.0,-3.5,0.1,-0.6,5.1,0.4,1.3,-3.6,0.8
2019,39,electricidad y agua,electricity and water,5.1,6.5,7.4,4.4,5.3,5.7,6.7,3.8,4.1,3.5,4.2,3.9,2.8,2.6,4.3
2019,39,construccion,construction,9.1,11.6,5.0,5.3,-0.4,0.6,6.0,9.3,-0.1,13.2,0.4,4.5,3.8,1.2,3.8
2019,39,comercio,commerce,2.6,2.4,2.5,2.6,2.5,1.8,3.0,3.0,2.3,2.7,3.2,3.1,3.4,3.5,2.9
2019,39,otros servicios,other services,4.3,4.9,4.4,4.6,4.1,4.2,4.0,3.8,4.2,4.0,4.0,4.1,3.8,3.7,4.0
2019,39,derechos de importacion y otros impuestos,import duties and other taxes,6.7,2.4,3.4,3.8,5.7,0.2,0.9,1.0,0.5,2.7,4.1,1.5,2.2,-1.0,1.7
2019,39,pbi,gdp,4.1,5.2,4.8,4.0,1.7,2.1,3.3,0.2,0.8,2.6,3.3,3.4,2.2,2.1,2.2
2019,39,sectores primarios,primary sectors,1.4,6.9,8.1,3.5,-5.3,-0.6,2.0,-8.1,-4.5,-0.7,1.7,4.0,-1.7,2.4,-1.3
2019,39,sectores no primarios,non primary sectors,4.9,4.7,3.9,4.2,3.8,2.8,3.7,2.9,2.7,3.8,3.7,3.3,3.3,2.0,3.2
2019,39,pbi desestacionalizado,seasonally adjusted gdp,1.7,7.2,7.3,,4.2,-0.1,-2.3,-0.8,2.7,3.2,3.6,3.1,3.2,3.1,
2019,39,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2019,39,demanda interna sin inventarios,domestic demand without inventories,4.1,4.7,2.7,3.7,1.9,1.5,2.8,1.9,3.2,4.0,5.2,3.7,3.7,3.0,3.1
2019,39,demanda interna,domestic demand,4.2,2.2,3.5,4.2,0.9,1.0,2.7,-0.5,2.5,3.8,3.6,5.0,3.9,0.6,2.3
