year,wr,sectores_economicos,economic_sectors,2017_nov,2017_dic,2017_year,2018_ene,2018_feb,2018_mar,2018_abr,2018_may,2018_jun,2018_jul,2018_ago,2018_sep,2018_oct,2018_nov,2018_ene_nov
2019,04,agropecuario,agriculture and livestock,0.5,12.1,2.6,4.0,5.2,9.8,11.8,16.5,4.5,4.1,8.0,4.4,7.2,5.2,7.6
2019,04,agricola,agriculture,-3.2,20.4,2.4,6.3,8.1,12.6,14.6,19.5,3.2,4.4,9.9,3.9,8.2,5.4,9.2
2019,04,pecuario,livestock,5.7,1.9,2.9,1.3,1.9,6.0,6.5,9.7,7.6,3.6,5.8,5.0,6.1,4.9,5.3
2019,04,pesca,fishing,-45.6,-66.9,4.7,12.4,5.1,-4.9,81.2,26.7,-7.9,-17.3,26.0,19.7,22.7,188.5,28.5
2019,04,mineria e hidrocarburos,mining and hydrocarbons,4.0,6.0,3.4,-1.5,-2.4,5.2,1.1,1.7,-4.5,-5.2,-3.9,0.9,-2.3,-2.5,-1.3
2019,04,mineria metalica,metals,5.4,7.1,4.5,-2.0,1.5,5.4,-0.5,0.0,-5.6,-5.7,0.2,-1.3,-3.1,-3.7,-1.5
2019,04,hidrocarburos,hydrocarbons,-3.8,-0.3,-2.4,1.1,-24.6,4.1,10.9,12.5,2.6,-2.2,-26.3,15.5,2.2,4.8,-0.2
2019,04,manufactura,manufacturing,-5.6,-12.4,-0.2,-0.1,-0.2,1.8,21.1,10.7,1.5,1.9,1.6,1.2,7.1,12.2,5.3
2019,04,procesadores recursos primarios,based on raw materials,-17.8,-32.1,1.9,2.1,-5.1,3.6,42.9,23.4,-0.4,-6.8,-1.1,3.2,8.9,40.9,10.4
2019,04,manufactura no primaria,nonprimary,-1.4,-3.3,-0.9,-1.0,1.4,1.3,12.8,4.9,2.3,4.7,2.5,0.6,6.7,3.6,3.6
2019,04,electricidad y agua,electricity and water,0.3,-0.6,1.1,-0.2,1.8,4.3,6.1,4.0,3.9,4.1,2.9,3.4,5.1,6.5,3.8
2019,04,construccion,construction,5.5,6.7,2.1,8.6,7.0,0.1,10.2,10.0,2.3,5.5,-0.1,-2.9,8.7,13.5,5.7
2019,04,comercio,commerce,1.7,1.9,1.0,2.4,2.6,3.1,4.9,3.3,1.6,2.7,2.5,1.4,2.6,2.4,2.7
2019,04,otros servicios,other services,3.7,3.8,3.2,4.3,4.0,4.4,5.2,5.2,4.5,4.2,4.4,4.0,4.3,4.8,4.5
2019,04,derechos de importacion y otros impuestos,import duties and other taxes,5.2,-1.3,3.8,4.8,4.4,2.5,8.2,8.0,1.4,4.3,0.3,-0.5,6.4,2.5,3.8
2019,04,pbi,gdp,2.0,1.4,2.5,2.9,2.7,3.9,7.9,6.6,2.1,2.5,2.2,2.1,4.2,5.3,3.8
2019,04,sectores primarios,primary sectors,-0.8,-1.1,3.1,0.5,-0.9,5.9,11.0,9.6,-1.5,-3.1,-0.8,2.0,1.3,6.4,2.8
2019,04,sectores no primarios,non primary sectors,2.9,2.1,2.3,3.6,3.6,3.3,6.9,5.6,3.3,4.1,3.0,2.2,5.0,5.0,4.1
2019,04,pbi desestacionalizado,seasonally adjusted gdp,2.7,1.5,,1.2,2.1,3.9,9.2,14.5,13.2,1.4,-8.8,-8.3,-0.3,9.2,
2019,04,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2019,04,demanda interna sin inventarios,domestic demand without inventories,3.6,2.1,1.6,3.9,4.4,3.4,6.8,4.4,4.0,3.5,2.4,1.0,4.1,4.8,3.8
2019,04,demanda interna,domestic demand,2.8,2.5,1.4,4.2,7.3,2.0,8.8,7.6,1.9,1.1,2.9,3.6,4.3,3.3,4.2
