year,wr,sectores_economicos,economic_sectors,2018_mar,2018_abr,2018_may,2018_jun,2018_jul,2018_ago,2018_sep,2018_oct,2018_nov,2018_dic,2018_year,2019_ene,2019_feb,2019_mar,2019_ene_mar
2019,17,agropecuario,agriculture and livestock,9.9,11.9,16.2,4.6,4.6,8.3,7.3,8.2,5.9,3.1,7.8,4.5,4.9,5.3,4.9
2019,17,agricola,agriculture,13.0,14.7,19.0,3.3,5.1,10.5,9.5,10.2,6.4,1.0,9.4,4.2,5.2,5.9,5.2
2019,17,pecuario,livestock,5.9,6.5,9.8,7.7,3.8,5.7,5.0,6.0,5.2,6.2,5.5,4.8,4.6,4.4,4.6
2019,17,pesca,fishing,-4.9,81.2,26.7,-7.9,-17.3,26.0,19.7,22.7,188.5,225.9,39.7,-31.3,-9.5,-7.4,-20.5
2019,17,mineria e hidrocarburos,mining and fuel,5.1,1.0,2.1,-4.6,-5.2,-3.9,0.8,-2.4,-2.5,-1.2,-1.3,-1.3,-0.7,0.1,-0.6
2019,17,mineria metalica,metals,5.3,-0.6,0.4,-5.7,-5.7,0.1,-1.4,-3.1,-3.7,-1.7,-1.5,-1.4,-5.9,0.3,-2.2
2019,17,hidrocarburos,fuel,4.1,10.9,12.5,2.6,-2.2,-26.3,15.5,2.2,4.8,1.4,0.0,-0.7,40.0,-0.4,9.5
2019,17,manufactura,manufacturing,1.8,21.0,10.6,1.6,2.1,2.1,1.1,9.8,12.1,12.4,6.2,-5.4,-1.3,3.7,-0.9
2019,17,procesadores recursos primarios,based on raw materials,3.6,42.8,23.5,-0.4,-6.5,-0.8,3.3,8.9,41.0,47.0,13.2,-28.3,-10.2,3.1,-13.0
2019,17,manufactura no primaria,nonprimary,1.3,12.8,4.8,2.4,5.0,3.0,0.5,10.0,3.4,1.7,3.7,4.1,1.3,3.9,3.1
2019,17,electricidad y agua,electricity and water,4.7,6.5,4.4,4.2,4.6,3.3,3.8,5.1,6.5,7.5,4.4,5.3,5.9,6.7,6.0
2019,17,construccion,construction,0.1,10.1,10.0,2.4,5.3,0.3,-1.9,9.0,11.8,4.6,5.4,-1.1,0.5,5.8,1.8
2019,17,comercio,commerce,3.1,4.9,3.3,1.6,2.7,2.5,1.4,2.6,2.4,2.5,2.6,2.5,1.8,3.0,2.4
2019,17,otros servicios,other services,4.5,5.4,5.3,4.5,4.5,4.6,4.4,3.1,4.9,4.4,4.5,3.9,4.1,3.9,4.0
2019,17,derechos de importacion y otros impuestos,import duties and other taxes,2.6,8.2,8.0,1.4,4.4,0.4,-0.4,6.7,2.4,3.4,3.8,5.7,0.1,0.8,2.2
2019,17,pbi,gdp,3.9,7.9,6.7,2.1,2.6,2.4,2.5,4.1,5.2,4.8,4.0,1.6,2.0,3.2,2.3
2019,17,sectores primarios,primary sectors,5.9,10.9,9.7,-1.6,-3.0,-0.7,2.6,1.5,6.6,7.4,3.3,-5.0,-0.6,1.7,-1.3
2019,17,sectores no primarios,non primary sectors,3.4,7.0,5.7,3.3,4.3,3.3,2.5,4.8,4.8,4.1,4.2,3.5,2.7,3.6,3.3
2019,17,pbi desestacionalizado,seasonally adjusted gdp,3.9,9.1,14.5,13.3,1.6,-8.7,-7.9,-0.2,9.0,10.9,,5.8,-1.5,-4.5,
2019,17,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2019,17,demanda interna sin inventarios,domestic demand without inventories,3.5,7.5,4.8,4.4,3.4,2.4,0.7,4.3,4.9,2.8,3.9,2.3,1.8,3.1,2.4
2019,17,demanda interna,domestic demand,2.1,8.8,7.5,2.1,1.6,3.6,4.4,4.2,2.3,3.9,4.3,1.0,1.2,3.1,1.8
