year,wr,sectores_economicos,economic_sectors,2018_jul,2018_ago,2018_sep,2018_oct,2018_nov,2018_dic,2018_year,2019_ene,2019_feb,2019_mar,2019_abr,2019_may,2019_jun,2019_jul,2019_ene_jul
2019,29,agropecuario,agriculture and livestock,4.6,8.3,7.3,8.2,5.9,3.1,7.8,4.6,5.3,5.6,4.6,2.0,0.0,-1.1,2.7
2019,29,agricola,agriculture,5.1,10.5,9.5,10.2,6.4,1.0,9.4,4.2,5.3,6.4,4.7,1.4,-1.8,-3.8,1.8
2019,29,pecuario,livestock,3.8,5.7,5.0,6.0,7.2,8.2,5.8,5.0,5.2,4.5,4.3,3.5,4.0,3.6,4.3
2019,29,pesca,fishing,-17.3,26.0,19.7,22.7,188.5,225.9,39.7,-31.3,-9.5,-7.4,-63.0,-26.8,14.2,52.3,-22.3
2019,29,mineria e hidrocarburos,mining and fuel,-5.4,-4.1,0.6,-2.6,-2.8,-1.4,-1.5,-1.3,-0.5,0.3,-2.6,-1.4,-3.0,0.3,-1.2
2019,29,mineria metalica,metals,-5.9,-0.1,-1.7,-3.4,-4.1,-1.8,-1.7,-1.4,-5.8,0.5,-1.4,0.0,-2.6,-0.6,-1.6
2019,29,hidrocarburos,fuel,-2.2,-26.3,15.5,2.2,4.8,1.4,0.0,-0.7,40.0,-0.4,-9.0,-8.8,-5.2,5.2,1.0
2019,29,manufactura,manufacturing,2.0,2.1,1.1,9.8,12.1,12.4,6.2,-5.4,-1.3,3.7,-13.2,-6.8,0.5,6.3,-2.6
2019,29,procesadores recursos primarios,based on raw materials,-6.5,-0.8,3.3,8.9,41.0,47.0,13.2,-28.3,-10.2,3.1,-34.0,-19.0,4.6,13.5,-12.6
2019,29,manufactura no primaria,nonprimary,4.9,3.0,0.5,10.0,3.4,1.7,3.7,4.1,1.4,3.9,-3.3,0.0,-1.2,4.2,1.3
2019,29,electricidad y agua,electricity and water,4.6,3.3,3.8,5.1,6.5,7.5,4.4,5.3,5.9,6.7,3.9,4.2,3.4,4.2,4.8
2019,29,construccion,construction,4.9,0.5,-1.8,9.1,11.6,5.0,5.3,-0.4,0.6,6.0,9.3,-0.1,13.6,0.8,4.3
2019,29,comercio,commerce,2.7,2.5,1.4,2.6,2.4,2.5,2.6,2.5,1.8,3.0,3.0,2.3,2.7,3.2,2.7
2019,29,otros servicios,other services,4.6,4.4,4.2,3.2,4.9,4.3,4.5,4.0,4.1,3.9,3.8,4.0,3.9,3.9,4.0
2019,29,derechos de importacion y otros impuestos,import duties and other taxes,4.4,0.4,-0.4,6.7,2.4,3.4,3.8,5.7,0.2,0.9,1.0,0.5,2.7,4.1,2.1
2019,29,pbi,gdp,2.6,2.3,2.4,4.1,5.2,4.7,4.0,1.6,2.1,3.3,0.2,0.7,2.6,3.3,2.0
2019,29,sectores primarios,primary sectors,-3.0,-0.8,2.4,1.4,6.4,7.3,3.2,-5.0,-0.5,1.9,-7.8,-4.2,-0.8,1.9,-2.2
2019,29,sectores no primarios,non primary sectors,4.3,3.2,2.4,4.9,4.9,4.0,4.2,3.6,2.8,3.7,2.7,2.4,3.7,3.7,3.2
2019,29,pbi desestacionalizado,seasonally adjusted gdp,2.1,-4.0,-3.0,2.6,7.6,7.6,,3.9,-0.3,-2.7,-0.9,2.5,3.0,2.4,
2019,29,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2019,29,demanda interna sin inventarios,domestic demand without inventories,3.0,2.2,0.6,4.1,4.7,2.7,3.7,1.9,1.5,2.8,1.9,3.2,3.9,5.0,2.9
2019,29,demanda interna,domestic demand,1.6,3.5,4.3,4.2,2.3,3.5,4.2,0.8,1.1,2.6,-0.4,2.4,4.0,4.0,2.1
