sectores_economicos;economic_sectors;2000_ene;2000_feb;2000_mar;2000_abr;2000_may;2000_jun;2000_jul;2000_ago;2000_sep;2000_oct;2000_nov;2000_dic;2000_year;2001_ene
agropecuario;agriculture and livestock;1.7;4.9;6.6;7.9;6.1;7.9;9.8;7.3;4.7;3.7;6.4;7.5;6.4;0.2
agricola;agriculture;-3.4;5.8;10.9;10.1;6.9;8.5;9.2;5.9;0.9;-0.3;6.1;9.8;6.5;-2.4
pecuario;livestock;7.8;3.9;1;3.9;4.3;6.5;10.7;8.9;8.5;7.8;6.6;5.4;6.2;3
pesca;fishing;-7.9;-7.2;131.4;-15.2;26.7;27.8;57;-19.2;-11.9;-27.9;15;-22.8;8.1;5
mineria e hidrocarburos;mining and fuel;4.9;8.2;-0.7;3.8;5.5;-3.6;0.2;1;4.9;3.2;1;1.1;2.4;-4.4
mineria;metals;7.9;10.8;0.6;6;7;-3.1;1.1;1.7;6.6;4.5;2;1.6;3.8;-4.6
petroleo y gas;petroleum and gas;-13.4;-7.9;-8.7;-9.3;-3.6;-5.9;-4.9;-3;-6;-5.1;-6.6;-3.6;-6.5;-2.8
manufactura;manufacturing;10;10.8;17.7;5.5;12;9.6;10.8;10.3;-1.5;0.8;0.9;-5.1;6.5;0.1
procesadores recursos primarios;based on raw materials;3.7;2.9;44.4;-3;20.7;21.1;32.1;11.6;3.2;-8;9.8;-16.3;8.9;1.4
resto industria;non primary;11.9;13;10.5;8.3;9.3;6.1;5.4;10;-2.7;3.4;-1.7;-0.8;5.8;-0.2
construccion;construction;6.9;8.7;0.4;-8.3;4.8;-3.6;-2.5;1.3;-8.2;-12.4;-16;-19.2;-4.5;-14.8
comercio;commerce;7.1;8.6;9.5;6.2;7;6.3;6.4;6.8;0.1;1.8;2.6;0.9;5.3;-1.6
otros servicios;other services;4.6;3.9;4.6;3.7;4.9;3.7;3.6;3.9;0.5;1.2;0.2;-0.7;2.8;-0.8
pbi;gdp;5.5;6;7.4;4;6.5;4.8;5.3;5.1;0.1;0.5;0.3;-1.8;3.6;-1.6
pbi sectores primarios;gdp primary sectors;2.8;5.2;13.9;4.1;8.7;7.6;11.5;5.3;4.1;0;5.7;-2;5.7;-1
pbi sectores no primarios;gdp non primary sectors;6.1;6.2;6;4;5.9;4;3.9;5;-0.6;0.6;-0.8;-1.7;3.1;-1.8
pbi desestacionalizado;seasonally adjusted gdp;1.7;-1.5;4.1;-1.8;-0.6;1.7;0.5;-4.4;-0.1;0.4;0.6;-0.1;;-0.2
pbi promedio de ultimos doce meses;gdp average last twelve months;1.9;2.5;3.1;3.5;3.7;3.9;4.3;4.9;4.8;4.5;4.1;3.6;;3
pbi promedio de ultimos tres meses;gdp average last three months;4.7;5.1;6.3;5.8;6;5.1;5.5;5;3.5;1.9;0.3;-0.4;;-1.1
demanda interna promedio de ultimos tres meses;domestic demand average last three months;4.9;5.1;6;4.3;5.4;4.5;5.5;4.3;2.6;0.5;-0.8;-1.5;;-1.7
