sectores_economicos;economic_sectors;2000_abr;2000_may;2000_jun;2000_jul;2000_ago;2000_sep;2000_oct;2000_nov;2000_dic;2000_year;2001_ene;2001_feb;2001_mar;2001_abr;2001_ene_abr
agropecuario;agriculture and livestock;7.9;6.1;7.9;9.8;7.3;4.7;3.7;6.4;7.5;6.4;0.3;-0.1;-3.0;-5.4;-2.4
agricola;agriculture;10.1;6.9;8.5;9.2;5.9;0.9;-0.3;6.1;9.8;6.5;-2.1;-1.8;-7.2;-8.7;-5.7
pecuario;livestock;3.9;4.3;6.5;10.7;8.9;8.5;7.8;6.6;5.4;6.2;3.0;1.8;3.2;1.1;2.3
pesca;fishing;-15.2;26.7;27.8;57.0;-19.2;-11.9;-27.9;15.0;-22.8;8.1;5.0;6.1;-30.3;46.4;1.6
mineria e hidrocarburos;mining and fuel;3.8;5.5;-3.6;0.2;1.0;4.9;3.2;1.0;1.1;2.4;-4.4;-6.9;0.7;0.4;-2.6
mineria;metals;6.0;7.0;-3.1;1.1;1.7;6.6;4.5;2.0;1.6;3.8;-4.5;-6.8;1.3;0.5;-2.4
petroleo y gas;petroleum and gas;-9.3;-3.6;-5.9;-4.9;-3.0;-6.0;-5.1;-6.6;-3.6;-6.5;-2.8;-8.0;-4.0;-1.2;-4.0
manufactura;manufacturing;5.5;12.0;9.6;10.8;10.3;-1.5;0.8;0.9;-5.1;6.5;0.1;-3.8;-6.3;2.4;-2.1
procesadores recursos primarios;based on raw materials;-3.0;20.7;21.1;32.1;11.6;3.2;-8.0;9.8;-16.3;8.9;1.4;2.7;-16.5;20.4;0.7
resto industria;non primary;8.3;9.3;6.1;5.4;10.0;-2.7;3.4;-1.7;-0.8;5.8;-0.3;-5.4;-2.7;-3.0;-2.8
construccion;construction;-8.3;4.8;-3.6;-2.5;1.3;-8.2;-12.4;-16.0;-19.2;-4.5;-14.8;-18.3;-16.2;-7.8;-14.5
comercio;commerce;6.2;7.0;6.3;6.4;6.8;0.1;1.8;2.6;0.9;5.3;-1.6;0.2;-3.5;-1.1;-1.5
otros servicios;other services;3.7;4.9;3.7;3.6;3.9;0.5;1.2;0.2;-0.7;2.8;-0.8;-1.1;-1.6;-0.8;-1.1
pbi;gdp;4.0;6.5;4.8;5.3;5.1;0.1;0.5;0.3;-1.8;3.6;-1.6;-2.5;-3.6;-0.9;-2.2
pbi sectores primarios;gdp primary sectors;4.1;8.7;7.5;11.5;5.3;4.1;0.0;5.7;-2.0;5.7;-0.9;-1.7;-6.3;1.8;-1.8
pbi sectores no primarios;gdp non primary sectors;4.0;5.9;4.0;3.9;5.0;-0.6;0.6;-0.8;-1.7;3.1;-1.8;-2.7;-3.0;-1.5;-2.3
pbi desestacionalizado;seasonally adjusted gdp;-1.8;-0.6;1.7;0.5;-4.4;-0.1;0.4;0.6;-0.1;;-0.2;-0.5;1.0;1.1;
pbi promedio de ultimos doce meses;gdp average last twelve months;3.5;3.7;3.9;4.3;4.9;4.8;4.5;4.1;3.6;;3.0;2.3;1.4;1.0;
pbi promedio de ultimos tres meses;gdp average last three months;5.8;6.0;5.1;5.5;5.0;3.5;1.9;0.3;-0.4;;-1.1;-2.0;-2.6;-2.3;
demanda interna promedio de ultimos tres meses;domestic demand average last three months;4.5;5.6;4.6;5.6;4.4;2.6;0.4;-0.9;-1.5;;-1.6;-1.9;-1.7;-1.7;
