sectores_economicos;economic_sectors;2000_jul;2000_ago;2000_sep;2000_oct;2000_nov;2000_dic;2000_year;2001_ene;2001_feb;2001_mar;2001_abr;2001_may;2001_jun;2001_jul;2001_ene_jul
agropecuario;agriculture and livestock;8.8;7;4;3.1;6;7.4;6.2;0.3;-0.6;-3.1;-5.5;-1.6;-1.4;-4.1;-2.4
agricola;agriculture;8.4;6.2;1.1;0.2;6.1;9.5;6.7;-2.2;-2.6;-7.5;-8.8;-3.5;-3.2;-9.1;-5.4
pecuario;livestock;10.4;8.6;8.2;7.6;6.4;5.2;6;3;1.8;3.2;1.1;3;2.6;3.8;2.7
pesca;fishing;74;-9.5;-13.3;-22.8;15.1;-29.7;9.1;20.4;21;-30.1;45.9;6;-29.6;-31;-5.7
mineria e hidrocarburos;mining and fuel;0.2;1;4.9;3.3;0.9;1;2.4;-4.5;-6.8;0.8;0.5;4.4;5.8;17.4;2.5
mineria;metals;0.7;1.3;6.2;4.1;1.7;1.4;3.4;-4.7;-6.7;1.4;0.6;4.6;7.9;20.1;3.2
hidrocarburos;fuel;-4.9;-3;-6;-5.1;-6.6;-3.6;-6.5;-2.8;-8;-4;-1.2;2.8;-10.5;-2.8;-3.8
manufactura;manufacturing;10.8;10.2;0.4;1.2;0.9;-6.8;6.7;0.8;-3.5;-6.1;2.7;0.9;-3.6;-3.3;-1.8
procesadores recursos primarios;based on raw materials;33.9;11.7;5.1;-6.8;9.7;-19.5;8.5;2.2;3.3;-14.9;21.3;5.5;-12.2;-7.6;-1.3
industria no primaria;non primary industries;4.6;9.8;-0.8;3.7;-1.9;-1.8;6.1;0.3;-5.3;-2.9;-3.1;-0.6;-0.5;-1.8;-2
construccion;construction;-2.1;1.7;-7.8;-12.1;-15.7;-19.6;-4.3;-14.8;-18.3;-14.2;1.3;-6.4;-12.4;-8.2;-10.8
comercio;commerce;6.9;9.6;-2.5;1.9;1.9;-1.6;5.1;-0.3;2.8;-0.4;-2.6;-1.1;-3.4;-1.1;-1
otros servicios;other services;3.6;4.3;-1.8;0.8;-3.8;-2.6;1.8;-0.8;-1.6;-1.2;-0.2;-0.3;-1.2;0;-0.7
pbi;gdp;5.4;5.6;-1.2;0.4;-1.9;-3.5;3.1;-1.3;-2.3;-2.8;-0.4;-0.4;-2.3;-0.8;-1.5
pbi sectores primarios;primary sectors;11.8;5.4;4.1;0.2;5.6;-3.2;5.6;-0.5;-1.4;-6;1.9;1.2;-2.7;0;-1
pbi sectores no primarios;non primary sectors;4;5.7;-2.2;0.4;-3.4;-3.6;2.6;-1.5;-2.5;-2.1;-0.9;-0.8;-2.2;-1;-1.6
pbi desestacionalizado;seasonally adjusted gdp;0.3;-1.5;-1.7;1.1;-1;0.9;;-1.9;4.2;-0.3;-1.9;1.8;-2.2;1.8;
demanda interna;domestic demand;5.8;5.2;-3.6;-0.8;-1.7;-5.9;2.4;-1.3;-0.7;-3;-0.9;-1.4;-3.4;-2.5;-1.9
demanda interna desestacionalizada;seasonally adjusted domestic demand;0.1;-4.3;-1.1;3.3;-1.8;-1.3;;3.4;-1.1;2.9;-1.2;0.5;-2.7;1.1;
