sectores_economicos;economic_sectors;1999_dic;1999_year;2000_ene;2000_feb;2000_mar;2000_abr;2000_may;2000_jun;2000_jul;2000_ago;2000_sep;2000_oct;2000_nov;2000_dic;2000_ene_dic
agropecuario;agriculture and livestock;-6.1;12.0;1.7;4.9;6.6;7.9;6.1;7.9;9.8;7.3;4.7;3.7;6.4;7.5;6.4
agricola;agriculture;-13.9;14.2;-3.4;5.8;10.9;10.1;6.9;8.5;9.2;5.9;0.9;-0.3;6.1;9.8;6.5
pecuario;livestock;6.5;9.3;7.8;3.9;1.0;3.9;4.3;6.5;10.7;8.9;8.5;7.8;6.6;5.4;6.2
pesca;fishing;68.2;28.9;-7.9;-7.2;131.4;-15.2;26.7;27.8;57.0;-19.2;-11.9;-27.9;15.0;-22.8;8.1
mineria e hidrocarburos;mining and fuel;2.9;11.8;4.9;8.2;-0.7;3.8;5.5;-3.6;0.2;1.0;4.9;3.2;1.0;1.1;2.4
mineria;mining;4.6;14.3;7.9;10.8;0.6;6.0;7.0;-3.1;1.1;1.7;6.6;4.5;2.0;1.6;3.8
petroleo y gas;fuels;-10.8;-6.4;-13.4;-7.9;-8.7;-9.3;-3.6;-5.9;-4.9;-3.0;-6.0;-5.1;-6.6;-3.6;-6.5
manufactura;manufacturing;17.4;0.3;10.0;10.8;17.7;5.5;12.0;9.6;10.8;10.3;-1.5;0.8;0.9;-5.1;6.5
procesadores recursos primarios;based on raw materials;33.2;15.6;3.7;2.9;44.4;-3.0;20.7;21.1;32.1;11.6;3.2;-8.0;9.8;-16.3;8.9
resto industria;non primary;12.3;-3.4;11.9;13.0;10.5;8.3;9.3;6.1;5.4;10.0;-2.7;3.4;-1.7;-0.8;5.8
construccion;construction;-2.8;-10.8;6.9;8.7;0.4;-8.3;4.8;-3.6;-2.5;1.3;-8.2;-12.4;-16.0;-19.2;-4.5
comercio;commerce;0.3;-1.6;7.1;8.6;9.5;6.2;7.0;6.3;6.4;6.8;0.1;1.8;2.6;0.9;5.3
otros servicios;other services;2.6;1.2;4.6;3.9;4.6;3.7;4.9;3.7;3.6;3.9;0.5;1.2;0.2;-0.7;2.8
pbi;gdp;3.7;1.4;5.5;6.0;7.4;4.0;6.6;4.8;5.3;5.1;0.1;0.5;0.3;-1.8;3.6
pbi sectores primarios;gdp primary sectors;7.2;13.0;2.8;5.2;13.8;4.1;8.7;7.6;11.5;5.3;4.1;0.0;5.7;-2.0;5.7
pbi sectores no primarios;gdp non primary sectors;3.0;-0.9;6.1;6.2;6.0;4.0;5.9;4.0;3.9;5.0;-0.6;0.6;-0.8;-1.7;3.1
pbi desestacionalizado;seasonally adjusted gdp;0.0;;1.7;-1.5;4.1;-1.8;-0.5;1.7;0.5;-4.4;-0.1;0.4;0.6;-0.1;
pbi promedio de ultimos doce meses;average gdp for the last twelve months;1.4;;1.9;2.5;3.1;3.5;3.7;3.9;4.3;4.9;4.8;4.5;4.1;3.6;
pbi promedio de ultimos tres meses;average gdp for the last three months;4.2;;4.7;5.1;6.3;5.8;6.0;5.1;5.5;5.0;3.5;1.9;0.3;-0.4;
demanda interna promedio de ultimos tres meses;average domestic demand for the last three months;3.7;;4.9;5.1;5.9;4.2;5.3;4.4;5.4;4.2;2.4;0.3;-1.0;-1.7;
