year,wr,sectores_economicos,economic_sectors,2017_sep,2017_oct,2017_nov,2017_dic,2017_year,2018_ene,2018_feb,2018_mar,2018_abr,2018_may,2018_jun,2018_jul,2018_ago,2018_sep,2018_ene_sep
2018,46,agropecuario,agriculture and livestock,5.1,0.5,0.6,12.0,2.6,4.0,5.2,9.8,11.8,16.5,4.5,4.1,8.0,4.4,7.9
2018,46,agricola,agriculture,5.3,-2.5,-1.8,20.4,2.5,6.3,8.1,12.6,14.6,19.5,3.2,4.4,9.9,3.9,9.6
2018,46,pecuario,livestock,4.9,4.3,3.8,1.9,2.8,1.3,1.9,6.0,6.5,9.7,7.6,3.6,5.8,5.0,5.3
2018,46,pesca,fishing,-30.0,-12.4,-45.6,-66.9,4.7,12.4,5.1,-4.9,81.2,26.7,-7.9,-17.3,26.0,19.7,17.9
2018,46,mineria e hidrocarburos,mining and hydrocarbons,7.5,-1.1,4.0,6.0,3.4,-1.5,-2.4,5.2,1.1,1.7,-4.5,-5.2,-3.9,0.9,-1.0
2018,46,mineria metalica,metals,9.5,-1.2,5.4,7.1,4.5,-2.0,1.5,5.4,-0.5,0.0,-5.6,-5.7,0.2,-1.3,-1.0
2018,46,hidrocarburos,hydrocarbons,-4.4,-0.9,-3.8,-0.3,-2.4,1.1,-24.6,4.1,10.9,12.5,2.6,-2.2,-26.3,15.5,-1.0
2018,46,manufactura,manufacturing,-1.2,3.0,-5.6,-12.4,-0.2,-0.1,-0.2,1.8,21.1,10.6,1.5,1.9,1.7,1.2,4.3
2018,46,procesadores recursos primarios,based on raw materials,-2.9,2.9,-17.8,-32.1,1.9,2.1,-5.1,3.6,43.0,23.3,-0.2,-6.8,-1.0,3.2,7.6
2018,46,manufactura no primaria,nonprimary,-0.6,3.2,-1.4,-3.3,-0.9,-1.0,1.4,1.3,12.8,4.9,2.3,4.7,2.5,0.6,3.2
2018,46,electricidad y agua,electricity and water,1.7,1.0,0.3,-0.6,1.1,-0.2,1.8,4.3,6.1,4.0,3.9,4.1,2.9,3.4,3.3
2018,46,construccion,construction,9.1,16.3,5.5,6.7,2.1,8.6,7.0,0.1,10.2,10.0,2.3,5.5,-0.1,-2.9,4.2
2018,46,comercio,commerce,1.6,1.4,1.7,1.9,1.0,2.4,2.6,3.1,4.9,3.3,1.6,2.7,2.5,1.4,2.7
2018,46,otros servicios,other services,3.4,4.0,3.6,3.8,3.2,4.3,4.0,4.4,5.2,5.2,4.5,4.2,4.4,4.0,4.5
2018,46,derechos de importacion y otros impuestos,import duties and other taxes,1.6,7.8,5.2,-1.3,3.8,4.8,4.4,2.5,8.2,8.0,1.4,4.3,0.3,-0.5,3.7
2018,46,pbi,gdp,3.3,3.6,2.0,1.4,2.5,2.9,2.7,3.9,7.9,6.6,2.1,2.5,2.2,2.1,3.6
2018,46,sectores primarios,primary sectors,5.2,-0.4,-0.8,-1.1,3.1,0.5,-0.9,5.9,11.0,9.5,-1.5,-3.1,-0.8,2.0,2.6
2018,46,sectores no primarios,non primary sectors,2.8,4.7,2.9,2.1,2.3,3.6,3.6,3.3,6.9,5.6,3.3,4.1,3.0,2.2,3.9
2018,46,pbi desestacionalizado,seasonally adjusted gdp,4.3,3.5,2.7,1.5,,1.2,2.1,3.9,9.2,14.5,13.2,1.4,-8.8,-8.3,
2018,46,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2018,46,demanda interna sin inventarios,domestic demand without inventories,3.5,4.5,3.5,1.9,1.5,3.7,4.2,3.3,6.7,4.3,3.9,3.3,2.3,0.9,3.6
2018,46,demanda interna,domestic demand,-1.0,7.0,2.8,2.5,1.4,4.2,7.3,2.1,8.8,7.6,1.9,1.1,3.0,4.2,4.4
