year,wr,sectores_economicos,economic_sectors,2017_jul,2017_ago,2017_sep,2017_oct,2017_nov,2017_dic,2017_year,2018_ene,2018_feb,2018_mar,2018_abr,2018_may,2018_jun,2018_jul,2018_ene_jul
2018,37,agropecuario,agriculture and livestock,12.1,1.7,5.3,0.5,0.6,12.0,2.6,3.8,4.2,8.8,11.4,15.7,3.7,3.8,7.7
2018,37,agricola,agriculture,19.1,1.4,5.6,-2.5,-3.1,18.8,2.3,5.9,6.2,10.9,13.9,18.4,2.1,3.9,9.1
2018,37,pecuario,livestock,1.9,1.9,4.9,4.3,5.7,3.7,3.1,1.3,1.9,6.0,6.5,9.7,7.6,3.6,5.3
2018,37,pesca,fishing,-49.4,-40.5,-30.0,-12.4,-45.6,-66.9,4.7,12.4,5.1,-4.9,81.2,26.7,-7.9,-17.3,17.3
2018,37,mineria e hidrocarburos,mining and hydrocarbons,2.3,3.9,7.5,-1.1,4.0,6.0,3.4,-1.6,-2.4,5.1,1.1,1.7,-4.6,-5.2,-0.9
2018,37,mineria metalica,metals,4.9,4.7,9.5,-1.2,5.4,7.1,4.5,-2.0,1.5,5.3,-0.6,0.0,-5.7,-5.7,-1.2
2018,37,hidrocarburos,hydrocarbons,-11.0,-0.5,-4.4,-0.9,-3.8,-0.3,-2.4,1.1,-24.6,4.1,10.9,12.5,2.6,-2.2,0.8
2018,37,manufactura,manufacturing,-4.5,0.6,-1.2,3.0,-5.6,-12.4,-0.2,0.0,-0.2,1.7,21.0,10.6,1.5,0.9,5.1
2018,37,procesadores recursos primarios,based on raw materials,-18.0,-7.2,-2.9,2.9,-17.8,-32.1,1.9,2.3,-5.1,3.5,42.9,23.4,-0.5,-6.8,9.3
2018,37,manufactura no primaria,nonprimary,2.2,3.4,-0.6,3.2,-1.4,-3.3,-0.9,-0.9,1.4,1.2,12.7,4.8,2.3,3.4,3.5
2018,37,electricidad y agua,electricity and water,1.4,1.9,1.7,1.0,0.3,-0.6,1.1,-0.2,1.9,4.2,6.1,3.9,3.9,4.2,3.4
2018,37,construccion,construction,3.8,4.7,9.1,16.3,5.5,6.7,2.1,8.6,6.3,-0.4,10.2,10.0,2.2,5.0,5.9
2018,37,comercio,commerce,1.2,1.2,1.6,1.4,1.7,1.9,1.0,2.4,2.6,3.1,4.9,3.3,1.6,2.7,2.9
2018,37,otros servicios,other services,3.0,3.2,3.4,4.0,3.5,3.8,3.2,4.1,4.1,4.4,5.3,5.1,4.5,4.3,4.5
2018,37,derechos de importacion y otros impuestos,import duties and other taxes,5.0,5.7,1.6,7.8,5.1,-1.3,3.8,4.8,4.5,2.5,8.2,8.0,1.4,4.1,4.8
2018,37,pbi,gdp,2.1,2.8,3.3,3.6,2.0,1.4,2.5,2.8,2.6,3.8,7.8,6.5,2.0,2.3,4.0
2018,37,sectores primarios,primary sectors,0.5,1.4,5.3,-0.4,-0.8,-1.1,3.1,0.5,-1.2,5.6,10.8,9.3,-1.8,-3.2,3.0
2018,37,sectores no primarios,non primary sectors,2.6,3.2,2.8,4.7,2.8,2.1,2.3,3.5,3.6,3.3,6.9,5.6,3.3,3.9,4.3
2018,37,pbi desestacionalizado,seasonally adjusted gdp,6.1,5.8,4.0,3.4,2.8,1.9,,1.3,2.1,3.5,9.0,14.5,13.3,1.2,
2018,37,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2018,37,demanda interna sin inventarios,domestic demand without inventories,3.7,2.8,3.6,4.6,3.6,2.0,1.6,3.9,4.3,3.3,6.8,4.4,4.0,3.7,4.3
2018,37,demanda interna,domestic demand,5.2,1.6,-1.0,7.0,2.7,2.5,1.4,4.0,7.1,1.9,8.8,7.7,1.9,1.2,4.7
