year,wr,sectores_economicos,economic_sectors,2017_may,2017_jun,2017_jul,2017_ago,2017_sep,2017_oct,2017_nov,2017_dic,2017_year,2018_ene,2018_feb,2018_mar,2018_abr,2018_may,2018_ene_may
2018,28,agropecuario,agriculture and livestock,-3.7,6.5,12.3,1.9,5.7,0.6,0.7,12.0,2.8,3.9,4.6,8.3,11.0,14.8,9.3
2018,28,agricola,agriculture,-4.8,9.9,19.6,2.0,6.5,-2.7,0.3,21.5,3.0,6.2,6.8,10.2,13.4,17.1,11.9
2018,28,pecuario,livestock,-1.0,-0.7,1.8,1.8,4.7,4.3,3.7,1.8,2.7,1.2,2.0,5.9,6.4,9.6,5.1
2018,28,pesca,fishing,280.4,52.0,-49.4,-40.5,-30.0,-12.4,-45.6,-66.9,4.7,12.4,5.1,-4.9,81.2,26.7,26.9
2018,28,mineria e hidrocarburos,mining and fuel,-0.6,6.3,2.1,3.7,7.1,-1.5,3.7,5.6,3.2,-1.3,-2.2,5.2,1.1,1.9,1.0
2018,28,mineria metalica,metals,1.7,7.0,4.7,4.4,9.1,-1.6,5.0,6.6,4.2,-1.8,1.7,5.5,-0.5,0.2,0.9
2018,28,hidrocarburos,fuel,-13.0,2.5,-11.0,-0.5,-4.4,-0.9,-3.8,-0.3,-2.4,1.1,-24.6,4.1,10.9,12.5,1.1
2018,28,manufactura,manufacturing,12.5,3.1,-4.6,0.5,-1.2,3.0,-5.6,-12.5,-0.3,0.4,0.3,2.3,20.3,10.5,6.7
2018,28,procesadores recursos primarios,based on raw materials,56.3,17.3,-18.2,-7.1,-2.9,2.7,-17.7,-32.1,1.9,2.0,-5.3,2.9,42.9,23.2,14.1
2018,28,manufactura no primaria,nonprimary,-0.9,-1.8,1.4,3.1,-0.7,3.0,-1.3,-3.6,-0.9,-0.3,2.2,2.2,11.8,4.7,4.1
2018,28,electricidad y agua,electricity and water,2.7,3.1,1.4,1.9,1.7,1.0,0.3,-0.6,1.1,-0.8,1.4,3.7,5.6,3.4,2.6
2018,28,construccion,construction,-3.7,3.6,3.9,4.9,9.1,16.4,5.8,6.8,2.3,8.3,7.6,0.0,10.5,9.9,7.2
2018,28,comercio,commerce,1.5,1.7,1.2,1.2,1.6,1.4,1.7,1.9,1.0,2.4,2.6,3.1,4.9,3.3,3.3
2018,28,otros servicios,other services,3.3,3.2,3.2,3.4,2.9,4.1,3.6,3.8,3.2,4.1,4.1,4.5,5.4,5.1,4.7
2018,28,derechos de importacion y otros impuestos,import duties and other taxes,5.5,2.7,4.2,5.0,4.4,7.2,4.9,-1.3,3.6,4.8,4.9,2.8,8.2,7.7,5.7
2018,28,pbi,gdp,3.6,3.9,2.1,2.8,3.3,3.5,2.0,1.3,2.5,2.9,2.8,3.9,7.8,6.4,4.8
2018,28,sectores primarios,primary sectors,6.6,8.4,0.4,1.3,5.1,-0.7,-1.0,-1.4,3.0,0.6,-1.0,5.5,10.8,9.2,5.3
2018,28,sectores no primarios,non primary sectors,2.6,2.4,2.7,3.2,2.8,4.7,2.8,2.1,2.3,3.5,3.9,3.5,6.9,5.5,4.7
2018,28,pbi desestacionalizado,seasonally adjusted gdp,-1.3,2.8,6.0,5.7,3.9,3.4,2.8,1.7,,1.3,2.3,4.1,9.5,14.4,
2018,28,indicadores de demanda,domestic demand indicators,,,,,,,,,,,,,,,
2018,28,demanda interna sin inventarios,domestic demand without inventories,1.5,2.5,3.6,3.1,3.4,4.5,3.9,2.2,1.7,3.8,4.4,3.3,6.6,4.3,4.4
2018,28,demanda interna,domestic demand,2.5,-2.0,5.2,1.4,-0.5,6.7,2.8,3.5,1.6,3.7,6.2,1.8,8.3,7.9,5.6
