sectores_económicos;economic_sectors;1996_1;1996_2;1996_3;1996_4;1996_year;1997_1;1997_2;1997_3;1997_4;1997_year;1998_1;1998_2;1998_3
agropecuario;agriculture and livestock;1.2;7.8;3.9;8.1;5.5;17.1;4.2;-3.9;6.5;4.9;3.1;-1.8;1.7
agrícola;agriculture;1.8;9;6.1;17;8.2;25.5;4.2;-9.5;1.8;3.5;2.3;-3.5;-1.5
pecuario;livestock;0.5;3.6;-0.9;-2.1;0.2;5.5;4.3;9;13;8;4.5;4.2;7.7
pesca;fishing;-19;1.2;-13.6;23.5;-0.7;-11.8;24.9;7.6;-55.9;-12.2;-63.5;-64.2;0.6
minería;mining and fuel;1.4;2.7;3.2;4.2;2.9;4.6;7.3;6.3;4.9;5.8;3.4;-1.5;6.3
minería metálica;metals;4.9;7.4;5.2;4.5;5.5;6.8;10.5;12.3;10.2;10;7.6;0.6;5.9
minería no metálica;fuel;-4.4;-4.8;-0.1;3.8;-1.4;0.8;1.5;-4.4;-4.7;-1.8;-4.6;-5.5;7.2
manufactura;manufacturing;0.9;1.4;2;5.7;2.5;2.6;11.3;7.2;3.1;6;0.9;-10.7;1.3
procesadores recursos primarios;based on raw materials;-1.6;4.9;8;12.2;5.9;-4.9;14.4;7.5;-14.2;0.3;-20.2;-32.6;2.6
resto industria;non primary;2;-0.1;0;2.9;1.2;5.6;9.9;7.1;11.1;8.5;8.4;0;0.8
construcción;construction;-2.2;-12.5;-6.3;2.7;-4.5;9;17.1;23.5;25;18.9;8.6;7.5;7.7
comercio;commerce;-0.1;4.2;2.5;4.2;2.7;5.4;9.6;8.2;7;7.6;2.2;-1.2;1
otros servicios;other services;1.1;4;3.6;4;3.2;4.5;7.7;7.6;6.2;6.6;3.3;1.8;3.4
pbi;gdp;0.3;2.5;2.1;4.9;2.5;5.7;9;7.3;6.4;7.2;2.5;-2.7;3.1
pbi desestacionalizado;seasonally adjusted gdp;1.2;1.8;0.3;1.7;;1.8;4.7;-0.9;0.8;;-2;-0.6;5.2
