sectores_económicos;economic_sectors;1995_1;1995_2;1995_3;1995_4;1995_year;1996_1;1996_2;1996_3;1996_4;1996_year;1997_1;1997_2;1997_3;1997_4;1997_year
agropecuario;agriculture and livestock;10.7;7.8;8.8;2.8;7.6;1.3;8.1;4.0;8.3;5.8;17.6;4.2;-3.9;6.0;4.9
agrícola;agriculture;13.2;7.0;5.5;-1.5;6.2;1.6;9.4;6.1;17.0;8.3;26.0;4.0;-9.4;1.1;3.4
pecuario;livestock;7.6;10.4;16.7;8.4;10.7;0.7;4.0;-0.5;-1.7;0.6;6.1;4.5;8.8;12.8;8.0
pesca;fishing;-5.4;-20.4;-30.4;-23.4;-19.1;-18.9;1.4;-13.2;23.8;-0.5;-10.7;23.3;16.3;-50.4;-9.7
minería;mining and fuel;4.3;0.5;3.2;2.7;2.6;1.3;2.5;3.9;3.6;2.8;5.0;7.5;5.9;4.8;5.8
minería metálica;metals;11.1;3.0;9.2;7.1;7.6;4.8;7.3;6.0;3.3;5.3;7.1;10.7;12.0;10.8;10.2
petróleo crudo;fuel;-4.6;-3.1;-5.6;-4.2;-4.4;-4.2;-4.7;0.4;4.0;-1.2;1.6;2.3;-4.9;-5.6;-1.7
manufactura;manufacturing;10.3;5.0;4.0;-1.5;4.2;1.2;2.3;2.3;5.0;2.7;3.0;12.4;8.1;2.9;6.5
procesadores recursos primarios;based on raw materials;-3.4;-6.8;-7.2;-9.0;-6.7;-5.5;6.5;7.6;13.3;5.5;-1.8;13.9;9.0;-14.2;1.3
resto industria;non primary;17.1;11.3;8.3;2.0;9.4;3.9;0.4;0.5;1.5;1.6;4.7;11.7;7.8;10.8;8.7
construcción;construction;32.0;31.6;12.4;1.5;17.5;-4.2;-10.4;-4.3;0.2;-4.6;9.7;24.1;29.3;21.7;21.3
comercio;commerce;20.8;15.0;11.8;2.7;12.4;-0.3;4.4;2.5;5.3;3.0;5.0;9.6;8.2;6.9;7.5
otros servicios;other services;10.9;8.1;6.9;2.8;7.0;1.4;3.8;3.4;4.0;3.2;3.7;7.6;7.6;5.9;6.3
pbi;gdp;12.8;8.6;6.9;1.2;7.2;0.3;2.9;2.3;4.6;2.6;5.7;9.7;8.0;5.9;7.4
pbi desestacionalizado;seasonally adjusted gdp;2.3;0.9;-0.8;-1.1;;1.4;3.5;-1.4;1.1;;2.4;7.5;-2.9;-0.9;
