target_period,agriculture_2014_2,fishing_2014_2,mining_2014_2,manufacturing_2014_2,electricity_2014_2,construction_2014_2,commerce_2014_2,services_2014_2,gdp_2014_2
2012m12,10.3,-50.4,-1.6,-1.9,5.0,5.2,7.0,5.6,4.3
2013m1,7.6,21.2,-4.3,4.8,6.3,18.4,5.5,6.9,6.7
2013m2,5.8,22.1,-1.7,0.8,3.9,14.3,5.6,5.5,5.1
2013m3,5.2,-16.7,-2.3,-3.8,4.1,3.8,4.0,4.0,2.5
2013m4,2.4,-3.4,4.9,6.5,6.4,26.4,7.5,7.4,7.8
2013m5,-1.8,-7.2,3.9,1.3,5.7,10.7,6.6,6.0,4.8
2013m6,0.5,4.6,6.1,2.2,6.1,7.0,5.0,4.9,4.4
2013m7,-2.2,17.4,3.6,1.7,7.1,11.5,4.3,5.7,4.7
2013m8,0.8,2.2,8.2,-0.4,5.0,7.7,5.4,5.2,4.4
2013m9,2.4,-4.1,-2.0,3.9,6.1,-1.3,5.6,6.0,4.4
2013m10,4.4,-7.7,5.9,3.2,7.1,6.2,6.4,5.8,5.5
2013m11,5.2,96.9,8.0,-1.0,4.7,2.3,6.7,5.9,5.0
2013m12,0.7,68.5,4.6,1.8,4.8,2.3,7.3,5.8,5.0
